battery,feature,horizon,metric,block_length,bootstrap_n,estimate,ci_low,ci_high,n
CS2_35,HF3,1,degradation_pearson,30,1000,-0.01590583531550748,-0.08305642043067014,0.022460319685788706,849
CS2_35,HF3,1,degradation_spearman,30,1000,-0.1356219118387139,-0.2519833237698442,-0.010514834576351212,849
CS2_35,HF3,1,partial_pearson_controlling_SOH,30,1000,-0.016260364389748608,-0.08208884339835196,-0.0027150728338580093,849
CS2_35,HF4,1,degradation_pearson,10,1000,-0.03055212738666975,-0.0984123287200964,0.046310025269954785,575
CS2_35,HF4,1,degradation_spearman,10,1000,0.08534075462628035,-0.023491297956474144,0.18607704374907968,575
CS2_35,HF4,1,partial_pearson_controlling_SOH,10,1000,0.01921800720326694,-0.09519466391874125,0.15260640733643407,575
CS2_35,HF4,1,degradation_pearson,20,1000,-0.027768336188089243,-0.09117353471570845,0.043576433194732235,575
CS2_35,HF4,1,degradation_spearman,20,1000,0.08473417975272415,-0.01905318096004444,0.18249741306436687,575
CS2_35,HF4,1,partial_pearson_controlling_SOH,20,1000,0.021278756475108913,-0.08926352440768862,0.15041783669903203,575
CS2_35,HF4,1,degradation_pearson,30,1000,-0.029078538102056118,-0.09172057440728644,0.04726427396478694,575
CS2_35,HF4,1,degradation_spearman,30,1000,0.07896256312413732,-0.031311904145299926,0.1938036257704108,575
CS2_35,HF4,1,partial_pearson_controlling_SOH,30,1000,0.02281275167391037,-0.0859716618965027,0.1529528686611404,575
CS2_35,HF5,1,degradation_pearson,10,1000,-0.022241190366572395,-0.08491414616593981,0.04491045491795484,574
CS2_35,HF5,1,degradation_spearman,10,1000,0.04591878513413439,-0.05877672308485878,0.13857383246351798,574
CS2_35,HF5,1,partial_pearson_controlling_SOH,10,1000,-0.027776853684253203,-0.10719652514896987,0.05930369005441671,574
CS2_35,HF5,1,degradation_pearson,20,1000,-0.023342336928070216,-0.07806587206208121,0.03813834740414438,574
CS2_35,HF5,1,degradation_spearman,20,1000,0.04576657337637584,-0.051031944623709,0.137517823113387,574
CS2_35,HF5,1,partial_pearson_controlling_SOH,20,1000,-0.024718116815161718,-0.09916977377473314,0.05504554901078573,574
CS2_35,HF5,1,degradation_pearson,30,1000,-0.024110069772085383,-0.07954030097414318,0.04311155152498113,574
CS2_35,HF5,1,degradation_spearman,30,1000,0.04517312157520671,-0.060383362294038415,0.14701493456858225,574
CS2_35,HF5,1,partial_pearson_controlling_SOH,30,1000,-0.025912219157065743,-0.09610251974008213,0.042487538950564605,574
CS2_35,HF6,1,degradation_pearson,10,1000,0.016234363104072953,-0.04361400943107445,0.08220647906874945,574
CS2_35,HF6,1,degradation_spearman,10,1000,0.12008588620865976,0.03581293645969124,0.20067830704937453,574
CS2_35,HF6,1,partial_pearson_controlling_SOH,10,1000,-0.09255941022712645,-0.1510676624804548,-0.027686540774237368,574
CS2_35,HF6,1,degradation_pearson,20,1000,0.015893230384635568,-0.04735356068868513,0.08349584855171394,574
CS2_35,HF6,1,degradation_spearman,20,1000,0.11981305270577933,0.04408449830066506,0.21082245876692574,574
CS2_35,HF6,1,partial_pearson_controlling_SOH,20,1000,-0.09149670598425358,-0.15156979052330405,-0.024259124966411534,574
CS2_35,HF6,1,degradation_pearson,30,1000,0.021217559494736412,-0.04393039094931779,0.09685981217481802,574
CS2_35,HF6,1,degradation_spearman,30,1000,0.11880500212096164,0.034287959916194134,0.2112804238804102,574
CS2_35,HF6,1,partial_pearson_controlling_SOH,30,1000,-0.09279278721980944,-0.15106492446321798,-0.02299214574453176,574
CS2_35,HF7,1,degradation_pearson,10,1000,-0.01960824843819879,-0.047527087504756496,0.0058223347372332035,875
CS2_35,HF7,1,degradation_spearman,10,1000,-0.08827224049955468,-0.17968074702872855,0.010457847157928106,875
CS2_35,HF7,1,partial_pearson_controlling_SOH,10,1000,0.449397580524439,0.2982034442807551,0.611127369381239,875
CS2_35,HF7,1,degradation_pearson,20,1000,-0.01895195204506839,-0.04499983616295941,0.0034652011173061906,875
CS2_35,HF7,1,degradation_spearman,20,1000,-0.08215365268481412,-0.18582974550334488,0.0345938915295065,875
CS2_35,HF7,1,partial_pearson_controlling_SOH,20,1000,0.44980772624246923,0.3017923575021217,0.6218949868109149,875
CS2_35,HF7,1,degradation_pearson,30,1000,-0.017890008368407845,-0.04196626452597174,0.0036333175747659653,875
