battery,feature,horizon,metric,value,rmse_value,mae_without,mae_full,alpha,n_test
CS2_35,HF8,4,MAE_minus_full,-0.00024106293992476498,8.377182574342834e-05,0.01380542716777513,0.014046490107699894,10.0,878
CS2_36,SOH,4,MAE_minus_full,-0.0005150158642891894,0.0006261664741225303,0.016706883254253884,0.017221899118543074,10.0,969
CS2_36,HF1,4,MAE_minus_full,-0.0008357287750088774,-0.00019258640724601622,0.016386170343534196,0.017221899118543074,10.0,969
CS2_36,HF2,4,MAE_minus_full,0.00016683944150701346,0.0001671568169407181,0.017388738560050087,0.017221899118543074,100.0,969
CS2_36,HF3,4,MAE_minus_full,0.001385772849570581,0.0032424749487815485,0.018607671968113654,0.017221899118543074,100.0,969
CS2_36,HF4,4,MAE_minus_full,6.773673168531877e-05,-4.494693962585339e-05,0.017289635850228392,0.017221899118543074,100.0,969
CS2_36,HF5,4,MAE_minus_full,8.45978083174187e-06,-3.220414649019593e-05,0.017230358899374815,0.017221899118543074,100.0,969
CS2_36,HF6,4,MAE_minus_full,4.492072637623731e-05,0.00010427645508257616,0.01726681984491931,0.017221899118543074,100.0,969
CS2_36,HF7,4,MAE_minus_full,-0.0008620798771841638,-0.00014396468890279235,0.01635981924135891,0.017221899118543074,10.0,969
CS2_36,HF8,4,MAE_minus_full,-4.3081962215273106e-05,3.288683963811878e-05,0.0171788171563278,0.017221899118543074,100.0,969
CS2_37,SOH,4,MAE_minus_full,-0.0005240593280607352,0.0008905209423419533,0.015022190892161358,0.015546250220222093,10.0,1034
CS2_37,HF1,4,MAE_minus_full,-0.0009465629279262235,-0.0004519469849336988,0.01459968729229587,0.015546250220222093,10.0,1034
CS2_37,HF2,4,MAE_minus_full,0.0001679446814789754,0.00020313885547385696,0.01571419490170107,0.015546250220222093,100.0,1034
CS2_37,HF3,4,MAE_minus_full,0.0011358303441012189,0.002437822869351465,0.016682080564323312,0.015546250220222093,100.0,1034
CS2_37,HF4,4,MAE_minus_full,-0.0009360748748523141,-0.00041245615340065184,0.01461017534536978,0.015546250220222093,10.0,1034
CS2_37,HF5,4,MAE_minus_full,-2.7828419790912676e-05,-9.188582808974943e-06,0.01551842180043118,0.015546250220222093,100.0,1034
CS2_37,HF6,4,MAE_minus_full,-0.0012945168383226204,-0.0005349517473954984,0.014251733381899473,0.015546250220222093,10.0,1034
CS2_37,HF7,4,MAE_minus_full,-0.0009572323201313925,-0.000432003809208964,0.014589017900090701,0.015546250220222093,10.0,1034
CS2_37,HF8,4,MAE_minus_full,2.618147371759999e-06,9.390192570610245e-06,0.015548868367593853,0.015546250220222093,100.0,1034
CS2_38,SOH,4,MAE_minus_full,-0.001305592745461992,-0.0010189539489194946,0.014844539509803235,0.016150132255265227,0.1,1024
