feature,horizon,metric,mean,median,std,count
HF3,8,spearman,-0.1985532921107903,-0.20318834451893394,0.02159568642680055,4
HF3,12,pearson,0.042128320218979984,0.08991074237922336,0.1190567486832042,4
HF3,12,spearman,-0.20379631402576887,-0.2045186495063161,0.028643081722544275,4
HF3,16,pearson,0.03350995313547128,0.08388316857173503,0.12416141862979004,4
HF3,16,spearman,-0.2775341667014232,-0.2796915293371556,0.02249317054986699,4
HF3,24,pearson,0.02693071576511923,0.06972117902287991,0.14514603853547453,4
HF3,24,spearman,-0.35037315629938487,-0.34699374049699827,0.03506513276203633,4
HF3,32,pearson,-0.010081321414390755,0.04298142307183128,0.13130114056854544,4
HF3,32,spearman,-0.3955094854055794,-0.404140738378988,0.04781260554230163,4
HF3,48,pearson,-0.025996600459642097,0.005316797369658611,0.1391091315920367,4
HF3,48,spearman,-0.5023759332269251,-0.5025924205025599,0.09317434348135119,4
HF3,64,pearson,-0.0471902455824514,-0.007215569401902076,0.11142690176669985,4
HF3,64,spearman,-0.5336578775946018,-0.526294768202367,0.08720906851617442,4
HF4,1,pearson,-0.020409072141539107,-0.004220474682953411,0.0641932016619247,4
HF4,1,spearman,0.04360588942155458,0.05499685145826662,0.04511658950384083,4
HF4,4,pearson,-0.030586566618025012,-0.006819449138099299,0.06293042980543558,4
HF4,4,spearman,0.03871717950609956,0.021165106539295864,0.06941951687480923,4
HF4,8,pearson,-0.03898167263560045,-0.014772231706071644,0.06866874702916473,4
HF4,8,spearman,0.02758143536358748,0.0008484837932172529,0.11464367835549522,4
HF4,12,pearson,-0.050285475653389394,-0.03921510544783839,0.054296362992218884,4
HF4,12,spearman,-0.010911469032529873,-0.01703898699769815,0.11660289556534313,4
HF4,16,pearson,-0.10181871644081054,-0.08358521088054359,0.053341566857496754,4
HF4,16,spearman,-0.04361424849817768,-0.05536043571751886,0.13359570167190826,4
HF4,24,pearson,-0.11257175074278919,-0.11518492206381484,0.06491869935239791,4
HF4,24,spearman,-0.10514136062758028,-0.1016460690068677,0.13492550532186856,4
HF4,32,pearson,-0.1638647767901681,-0.18546329421388497,0.08392514247255946,4
HF4,32,spearman,-0.15899533582921332,-0.1482386444620999,0.13802738854018018,4
HF4,48,pearson,-0.22039016325032587,-0.22518234218345684,0.06805815552576622,4
HF4,48,spearman,-0.25395366950819676,-0.24450388248118993,0.18465962937875874,4
HF4,64,pearson,-0.24460452590975645,-0.24343861525796281,0.0885301168807439,4
HF4,64,spearman,-0.2546118248887006,-0.21331036043834462,0.19322428526256977,4
HF5,1,pearson,-0.02048672142943258,-0.003685586303569771,0.0584541582490249,4
HF5,1,spearman,0.01732566122261372,0.029269341971723158,0.03635220710305048,4
HF5,4,pearson,-0.004648891147240802,0.008782635552220506,0.061563747632941805,4
HF5,4,spearman,0.10164933652271156,0.09414620031591735,0.08367650622653806,4
HF5,8,pearson,-0.02632183522535822,-0.007627100100556504,0.0537078030794556,4
HF5,8,spearman,0.059863272315717045,0.03900695843873115,0.1036772712383322,4
HF5,12,pearson,-0.013463495082323956,-0.010261604105279445,0.06001827926804648,4
