battery,feature,horizon,ranking_metric,value,rank
CS2_37,HF2,64,abs_future_soh_spearman,-0.8916847823923111,5.0
CS2_37,HF3,64,abs_future_soh_spearman,0.8819251623070666,6.0
CS2_37,HF4,64,abs_future_soh_spearman,0.9134370398180414,3.0
CS2_37,HF5,64,abs_future_soh_spearman,0.8470069947657721,7.0
CS2_37,HF6,64,abs_future_soh_spearman,0.8008432322273445,8.0
CS2_37,HF7,64,abs_future_soh_spearman,0.9622019682045119,2.0
CS2_37,HF8,64,abs_future_soh_spearman,-0.9013643826006921,4.0
CS2_38,HF1,1,abs_future_soh_spearman,0.9660622688320297,1.0
CS2_38,HF2,1,abs_future_soh_spearman,-0.6327137948002578,8.0
CS2_38,HF3,1,abs_future_soh_spearman,0.7871150913745999,5.0
CS2_38,HF4,1,abs_future_soh_spearman,0.9512407824638939,3.0
CS2_38,HF5,1,abs_future_soh_spearman,0.8380015921915894,4.0
CS2_38,HF6,1,abs_future_soh_spearman,0.7776352617643097,6.0
CS2_38,HF7,1,abs_future_soh_spearman,0.9642749987708331,2.0
CS2_38,HF8,1,abs_future_soh_spearman,-0.699693918140357,7.0
CS2_38,HF1,4,abs_future_soh_spearman,0.9581744288941636,1.0
CS2_38,HF2,4,abs_future_soh_spearman,-0.6270478416205281,8.0
CS2_38,HF3,4,abs_future_soh_spearman,0.7702106826259726,5.0
CS2_38,HF4,4,abs_future_soh_spearman,0.9272350161903831,3.0
CS2_38,HF5,4,abs_future_soh_spearman,0.7865564342721219,4.0
CS2_38,HF6,4,abs_future_soh_spearman,0.7388094371979256,6.0
CS2_38,HF7,4,abs_future_soh_spearman,0.9563913921035064,2.0
CS2_38,HF8,4,abs_future_soh_spearman,-0.6928108353944902,7.0
CS2_38,HF1,8,abs_future_soh_spearman,0.9620770092173019,1.0
CS2_38,HF2,8,abs_future_soh_spearman,-0.627564519287243,8.0
CS2_38,HF3,8,abs_future_soh_spearman,0.7738836831959313,5.0
CS2_38,HF4,8,abs_future_soh_spearman,0.9369670667058815,3.0
CS2_38,HF5,8,abs_future_soh_spearman,0.8129246142478999,4.0
CS2_38,HF6,8,abs_future_soh_spearman,0.7513771945556222,6.0
CS2_38,HF7,8,abs_future_soh_spearman,0.9601755569551235,2.0
CS2_38,HF8,8,abs_future_soh_spearman,-0.6922313963406463,7.0
CS2_38,HF1,12,abs_future_soh_spearman,0.9545213429947343,1.0
CS2_38,HF2,12,abs_future_soh_spearman,-0.6215520604013431,8.0
CS2_38,HF3,12,abs_future_soh_spearman,0.7560593808622591,5.0
CS2_38,HF4,12,abs_future_soh_spearman,0.918227636515102,3.0
CS2_38,HF5,12,abs_future_soh_spearman,0.7771145269000138,4.0
CS2_38,HF6,12,abs_future_soh_spearman,0.7139019938284253,6.0
CS2_38,HF7,12,abs_future_soh_spearman,0.9523584275704895,2.0
CS2_38,HF8,12,abs_future_soh_spearman,-0.6832320757932077,7.0
CS2_38,HF1,16,abs_future_soh_spearman,0.9550743666391514,1.0
CS2_38,HF2,16,abs_future_soh_spearman,-0.6228237026740862,8.0
CS2_38,HF3,16,abs_future_soh_spearman,0.7591328789981532,5.0
CS2_38,HF4,16,abs_future_soh_spearman,0.9196980937773088,3.0
CS2_38,HF5,16,abs_future_soh_spearman,0.7770815973544226,4.0
CS2_38,HF6,16,abs_future_soh_spearman,0.7153040390477541,6.0
CS2_38,HF7,16,abs_future_soh_spearman,0.952671701865207,2.0
CS2_38,HF8,16,abs_future_soh_spearman,-0.6821351755553854,7.0
CS2_38,HF1,24,abs_future_soh_spearman,0.9567161127161127,1.0
CS2_38,HF2,24,abs_future_soh_spearman,-0.6156597746666577,8.0
CS2_38,HF3,24,abs_future_soh_spearman,0.7520630389304752,5.0
CS2_38,HF4,24,abs_future_soh_spearman,0.9126392318542613,3.0
CS2_38,HF5,24,abs_future_soh_spearman,0.7592221364053362,4.0
CS2_38,HF6,24,abs_future_soh_spearman,0.7000620237669646,6.0
CS2_38,HF7,24,abs_future_soh_spearman,0.9543357456765615,2.0
CS2_38,HF8,24,abs_future_soh_spearman,-0.6735364417470292,7.0
CS2_38,HF1,32,abs_future_soh_spearman,0.949703579166991,1.0
CS2_38,HF2,32,abs_future_soh_spearman,-0.609941668403025,8.0
CS2_38,HF3,32,abs_future_soh_spearman,0.7413092423147245,5.0
CS2_38,HF4,32,abs_future_soh_spearman,0.9083780245919771,3.0
CS2_38,HF5,32,abs_future_soh_spearman,0.7619643122622661,4.0
CS2_38,HF6,32,abs_future_soh_spearman,0.6936168688004145,6.0
CS2_38,HF7,32,abs_future_soh_spearman,0.9470868982743703,2.0
CS2_38,HF8,32,abs_future_soh_spearman,-0.6685132067993065,7.0
CS2_38,HF1,48,abs_future_soh_spearman,0.9544302307421257,1.0
CS2_38,HF2,48,abs_future_soh_spearman,-0.5863138463521628,8.0
CS2_38,HF3,48,abs_future_soh_spearman,0.7216137090823982,5.0
CS2_38,HF4,48,abs_future_soh_spearman,0.900585899681269,3.0
CS2_38,HF5,48,abs_future_soh_spearman,0.751716615720445,4.0
CS2_38,HF6,48,abs_future_soh_spearman,0.6919047450627295,6.0
CS2_38,HF7,48,abs_future_soh_spearman,0.9521612469082478,2.0
CS2_38,HF8,48,abs_future_soh_spearman,-0.6469597863427505,7.0
CS2_38,HF1,64,abs_future_soh_spearman,0.9453112199557505,1.0
CS2_38,HF2,64,abs_future_soh_spearman,-0.5658999668509682,8.0
CS2_38,HF3,64,abs_future_soh_spearman,0.7155089945651848,5.0
CS2_38,HF4,64,abs_future_soh_spearman,0.8948849177262493,3.0
CS2_38,HF5,64,abs_future_soh_spearman,0.7346303113248458,4.0
CS2_38,HF6,64,abs_future_soh_spearman,0.6749562292663656,6.0
CS2_38,HF7,64,abs_future_soh_spearman,0.9423756078294624,2.0
CS2_38,HF8,64,abs_future_soh_spearman,-0.6290503491710343,7.0
CS2_35,HF1,1,abs_degradation_spearman,-0.09276493795537086,3.0
CS2_35,HF2,1,abs_degradation_spearman,0.04947697382191817,7.0
CS2_35,HF3,1,abs_degradation_spearman,-0.14114409588090188,1.0
CS2_35,HF4,1,abs_degradation_spearman,0.08313336363177298,5.0
CS2_35,HF5,1,abs_degradation_spearman,0.044856443296311596,8.0
CS2_35,HF6,1,abs_degradation_spearman,0.11943035781400566,2.0
CS2_35,HF7,1,abs_degradation_spearman,-0.09174093516407872,4.0
CS2_35,HF8,1,abs_degradation_spearman,0.05655435342242866,6.0
CS2_35,HF1,4,abs_degradation_spearman,-0.10021766915699787,4.0
CS2_35,HF2,4,abs_degradation_spearman,0.055480420457782585,7.0
CS2_35,HF3,4,abs_degradation_spearman,-0.055161750415432906,8.0
CS2_35,HF4,4,abs_degradation_spearman,0.13758426257801645,3.0
CS2_35,HF5,4,abs_degradation_spearman,0.20806093408570742,1.0
CS2_35,HF6,4,abs_degradation_spearman,0.20510435557073625,2.0
CS2_35,HF7,4,abs_degradation_spearman,-0.09938331697595489,5.0
CS2_35,HF8,4,abs_degradation_spearman,0.06317949950347725,6.0
CS2_35,HF1,8,abs_degradation_spearman,-0.16643858627381314,5.0
CS2_35,HF2,8,abs_degradation_spearman,0.14124352469152496,8.0
CS2_35,HF3,8,abs_degradation_spearman,-0.19221881272826088,3.0
CS2_35,HF4,8,abs_degradation_spearman,0.18679774839763288,4.0
CS2_35,HF5,8,abs_degradation_spearman,0.20272346731291951,2.0
CS2_35,HF6,8,abs_degradation_spearman,0.22146203783156798,1.0
CS2_35,HF7,8,abs_degradation_spearman,-0.16571718112692124,6.0
CS2_35,HF8,8,abs_degradation_spearman,0.14742199946068701,7.0
CS2_35,HF1,12,abs_degradation_spearman,-0.20225580137099972,2.0
CS2_35,HF2,12,abs_degradation_spearman,0.15965257887270248,7.0
CS2_35,HF3,12,abs_degradation_spearman,-0.1685547235097689,5.0
CS2_35,HF4,12,abs_degradation_spearman,0.13774511398003314,8.0
CS2_35,HF5,12,abs_degradation_spearman,0.2075843324087482,1.0
CS2_35,HF6,12,abs_degradation_spearman,0.1996175997529804,4.0
CS2_35,HF7,12,abs_degradation_spearman,-0.2018164100937689,3.0
CS2_35,HF8,12,abs_degradation_spearman,0.1676719593739278,6.0
CS2_35,HF1,16,abs_degradation_spearman,-0.2372380356835101,2.0
CS2_35,HF2,16,abs_degradation_spearman,0.210748970752224,5.0
CS2_35,HF3,16,abs_degradation_spearman,-0.24805021651102177,1.0
CS2_35,HF4,16,abs_degradation_spearman,0.12858718058742485,8.0
CS2_35,HF5,16,abs_degradation_spearman,0.17432478133538026,6.0
CS2_35,HF6,16,abs_degradation_spearman,0.16772017444235482,7.0
CS2_35,HF7,16,abs_degradation_spearman,-0.23657626481520339,3.0
CS2_35,HF8,16,abs_degradation_spearman,0.2205778563699407,4.0
CS2_35,HF1,24,abs_degradation_spearman,-0.32831178138436334,1.0
CS2_35,HF2,24,abs_degradation_spearman,0.2969631502355991,5.0
CS2_35,HF3,24,abs_degradation_spearman,-0.322117914022134,3.0
CS2_35,HF4,24,abs_degradation_spearman,0.05295840468404358,8.0
CS2_35,HF5,24,abs_degradation_spearman,0.11334528069300129,6.0
CS2_35,HF6,24,abs_degradation_spearman,0.09736839463740385,7.0
CS2_35,HF7,24,abs_degradation_spearman,-0.32759567477538526,2.0
CS2_35,HF8,24,abs_degradation_spearman,0.31003289368949244,4.0
CS2_35,HF1,32,abs_degradation_spearman,-0.3901591578354039,1.0
CS2_35,HF2,32,abs_degradation_spearman,0.35565435048618754,5.0
CS2_35,HF3,32,abs_degradation_spearman,-0.37403486546205833,3.0
CS2_35,HF4,32,abs_degradation_spearman,-0.008057132387524974,8.0
CS2_35,HF5,32,abs_degradation_spearman,0.05512563033952385,6.0
CS2_35,HF6,32,abs_degradation_spearman,0.04642084868718758,7.0
CS2_35,HF7,32,abs_degradation_spearman,-0.38944033010891765,2.0
CS2_35,HF8,32,abs_degradation_spearman,0.37293951446776535,4.0
CS2_35,HF1,48,abs_degradation_spearman,-0.4609363781300531,1.0
CS2_35,HF2,48,abs_degradation_spearman,0.4246008400197619,5.0
CS2_35,HF3,48,abs_degradation_spearman,-0.4252934435544174,4.0
CS2_35,HF4,48,abs_degradation_spearman,-0.0387284754835126,6.0
CS2_35,HF5,48,abs_degradation_spearman,0.031980209249590136,7.0
CS2_35,HF6,48,abs_degradation_spearman,0.010351525922430094,8.0
CS2_35,HF7,48,abs_degradation_spearman,-0.460503185180807,2.0
CS2_35,HF8,48,abs_degradation_spearman,0.44764033135255854,3.0
CS2_35,HF1,64,abs_degradation_spearman,-0.5024494656396497,1.0
CS2_35,HF2,64,abs_degradation_spearman,0.4517598408253733,5.0
CS2_35,HF3,64,abs_degradation_spearman,-0.46167959899281524,4.0
CS2_35,HF4,64,abs_degradation_spearman,-0.06662298641619957,6.0
CS2_35,HF5,64,abs_degradation_spearman,0.017452377118808746,7.0
CS2_35,HF6,64,abs_degradation_spearman,0.0024468343553686635,8.0
CS2_35,HF7,64,abs_degradation_spearman,-0.5015045953733609,2.0
CS2_35,HF8,64,abs_degradation_spearman,0.47943131002901707,3.0
CS2_36,HF1,1,abs_degradation_spearman,-0.09481367590904632,2.0
CS2_36,HF2,1,abs_degradation_spearman,0.05427543221637081,6.0
CS2_36,HF3,1,abs_degradation_spearman,-0.11806929735275601,1.0
CS2_36,HF4,1,abs_degradation_spearman,0.040817119774952906,7.0
CS2_36,HF5,1,abs_degradation_spearman,0.017492746238145496,8.0
CS2_36,HF6,1,abs_degradation_spearman,0.06433992619637863,5.0
CS2_36,HF7,1,abs_degradation_spearman,-0.09436934106816877,3.0
CS2_36,HF8,1,abs_degradation_spearman,0.06620337632772186,4.0
CS2_36,HF1,4,abs_degradation_spearman,-0.09398531873744508,1.0
CS2_36,HF2,4,abs_degradation_spearman,0.028744941953347522,6.0
CS2_36,HF3,4,abs_degradation_spearman,-0.04015947062537009,5.0
CS2_36,HF4,4,abs_degradation_spearman,-0.02504575763220994,7.0
CS2_36,HF5,4,abs_degradation_spearman,0.010244011373304154,8.0
CS2_36,HF6,4,abs_degradation_spearman,0.08140859681948212,3.0
CS2_36,HF7,4,abs_degradation_spearman,-0.09318613261729879,2.0
CS2_36,HF8,4,abs_degradation_spearman,0.04724343518555747,4.0
