feature,horizon,metric,mean,median,std,count
HF2,32,spearman,-0.7910693982941408,-0.8416148265713006,0.12155701605438558,4
HF2,48,pearson,-0.7765154279398401,-0.7878713018346896,0.0706501342427204,4
HF2,48,spearman,-0.8095430687467964,-0.8782891886664419,0.14932274747917082,4
HF2,64,pearson,-0.8068632992666633,-0.840685473162202,0.08998507654127012,4
HF2,64,spearman,-0.802795117055593,-0.87316021474764,0.15911822008114293,4
HF3,1,pearson,0.2464683355191839,0.22217345253109522,0.1073066244269595,4
HF3,1,spearman,0.8800703099757443,0.906044111725226,0.06250086220259955,4
HF3,4,pearson,0.25058155020627665,0.22276962129658606,0.10121732553380075,4
HF3,4,spearman,0.8673345108320242,0.8918333335577349,0.06646324619889142,4
HF3,8,pearson,0.2801651187088565,0.2881562486704142,0.11287557351878867,4
HF3,8,spearman,0.8706683130960116,0.8977100925807555,0.06503904405848646,4
HF3,12,pearson,0.24168728574497958,0.21698774675189766,0.09660713734148058,4
HF3,12,spearman,0.8548218204377704,0.8794853772632065,0.0681622004708786,4
HF3,16,pearson,0.23649619624938115,0.21375127747386924,0.09312499347385433,4
HF3,16,spearman,0.8603345102260797,0.8857566910762105,0.06901918387318537,4
HF3,24,pearson,0.22136147517036214,0.20678969357767543,0.09253070521397785,4
HF3,24,spearman,0.8526389378907031,0.8794947347137719,0.06893302282396677,4
HF3,32,pearson,0.21889068690385088,0.20405508058536415,0.08078136456482085,4
HF3,32,spearman,0.8474563589174466,0.8749662776015017,0.07276156950345358,4
HF3,48,pearson,0.19624156093037204,0.19257042810016495,0.07747798363191533,4
HF3,48,spearman,0.839074375364361,0.8661313123677827,0.08209909074149317,4
HF3,64,pearson,0.18760062282371695,0.17904761163772587,0.059939198640081855,4
HF3,64,spearman,0.8278730582155533,0.8561616646755532,0.07887936283919478,4
HF4,1,pearson,0.8892875118481773,0.8893804668772136,0.056327740430224676,4
HF4,1,spearman,0.9517733118713569,0.9513838487888828,0.00668654509071545,4
HF4,4,pearson,0.8859443051867619,0.8877675802473111,0.05851109458163956,4
HF4,4,spearman,0.9357263331845714,0.9325358162293862,0.012156025038970425,4
HF4,8,pearson,0.881927865405333,0.885439288586588,0.051908772753275004,4
HF4,8,spearman,0.9368317664405652,0.9334576170829165,0.010046026678713472,4
HF4,12,pearson,0.8549780036759654,0.8400990835642137,0.0392388095197001,4
HF4,12,spearman,0.9224264791960957,0.9229902820674296,0.020310819584127112,4
HF4,16,pearson,0.8834703888192927,0.8816677264512396,0.047588970587630605,4
HF4,16,spearman,0.9229849748282335,0.9256487110013872,0.022339321532679753,4
HF4,24,pearson,0.8550953225801263,0.8460626675617811,0.034989957544208077,4
HF4,24,spearman,0.9152762972987242,0.9147287093331204,0.027199519854623492,4
HF4,32,pearson,0.8552854579573723,0.8487018744722306,0.03189726072622147,4
HF4,32,spearman,0.9110554594363431,0.9114318583478589,0.029724509826877563,4
HF4,48,pearson,0.8422410221740922,0.8469434606229722,0.04200233141338738,4
HF4,48,spearman,0.9104285345024876,0.9136956354807704,0.035135420753231096,4
HF4,64,pearson,0.8365900842456311,0.8444758435829032,0.03942550320859521,4
HF4,64,spearman,0.9009459344610861,0.9041609787721454,0.04149357461552299,4
HF5,1,pearson,0.8527753290372573,0.8549681600634493,0.03463109923376495,4
HF5,1,spearman,0.8873358484460578,0.8931399497750707,0.03750688593055991,4
HF5,4,pearson,0.8397838070023456,0.8336084575987524,0.05522521903133052,4
HF5,4,spearman,0.8577685074375219,0.8624243193201879,0.06060285747382702,4
HF5,8,pearson,0.8405776110392038,0.8437782566562071,0.030635074492572214,4
HF5,8,spearman,0.8640264289672018,0.8679256231387779,0.04048857889809873,4
HF5,12,pearson,0.8030254276917547,0.8008115470397055,0.021711038189439428,4
