battery,feature,horizon,metric,value,n
CS2_37,HF7,4,pearson,0.9789353174230856,1034
CS2_37,HF8,4,pearson,-0.6242282656817087,1034
CS2_37,SOH,8,pearson,0.9743659317055834,1030
CS2_37,HF1,8,pearson,0.9788408884130968,1030
CS2_37,HF2,8,pearson,-0.5574372486084783,1030
CS2_37,HF3,8,pearson,0.2116217113473238,1030
CS2_37,HF4,8,pearson,0.8298041498504223,1030
CS2_37,HF5,8,pearson,0.803549523929278,1030
CS2_37,HF6,8,pearson,0.7121706606826925,1030
CS2_37,HF7,8,pearson,0.978560511808908,1030
CS2_37,HF8,8,pearson,-0.6337970295634744,1030
CS2_37,SOH,12,pearson,0.9733694960490598,1026
CS2_37,HF1,12,pearson,0.9777331886022765,1026
CS2_37,HF2,12,pearson,-0.5835105240807394,1026
CS2_37,HF3,12,pearson,0.20827225496528112,1026
CS2_37,HF4,12,pearson,0.8303269391968345,1026
CS2_37,HF5,12,pearson,0.7943865543643673,1026
CS2_37,HF6,12,pearson,0.7030503816677471,1026
CS2_37,HF7,12,pearson,0.9774573995145364,1026
CS2_37,HF8,12,pearson,-0.6521866009679063,1026
CS2_37,SOH,16,pearson,0.9743259397347801,1022
CS2_37,HF1,16,pearson,0.9765246191461702,1022
CS2_37,HF2,16,pearson,-0.6156194105522053,1022
CS2_37,HF3,16,pearson,0.2081745665032074,1022
CS2_37,HF4,16,pearson,0.9373525813135044,1022
CS2_37,HF5,16,pearson,0.8971587946596282,1022
CS2_37,HF6,16,pearson,0.7969608431154983,1022
CS2_37,HF7,16,pearson,0.9762910815935818,1022
CS2_37,HF8,16,pearson,-0.6800835420577873,1022
CS2_37,SOH,24,pearson,0.9698415395581896,1014
CS2_37,HF1,24,pearson,0.9755675302650089,1014
CS2_37,HF2,24,pearson,-0.6547336312427035,1014
CS2_37,HF3,24,pearson,0.1980093150403118,1014
CS2_37,HF4,24,pearson,0.8243695925854617,1014
CS2_37,HF5,24,pearson,0.789192421287368,1014
CS2_37,HF6,24,pearson,0.6899909205362114,1014
CS2_37,HF7,24,pearson,0.9753697764092928,1014
CS2_37,HF8,24,pearson,-0.7075590399527216,1014
CS2_37,SOH,32,pearson,0.966625851990926,1006
CS2_37,HF1,32,pearson,0.972926865595698,1006
CS2_37,HF2,32,pearson,-0.7017313557884313,1006
CS2_37,HF3,32,pearson,0.19549428274560882,1006
CS2_37,HF4,32,pearson,0.824372635411537,1006
CS2_37,HF5,32,pearson,0.7904397285587295,1006
CS2_37,HF6,32,pearson,0.6923226802338902,1006
CS2_37,HF7,32,pearson,0.9727650989862505,1006
CS2_37,HF8,32,pearson,-0.7442682740331162,1006
CS2_37,SOH,48,pearson,0.964779005738293,990
CS2_37,HF1,48,pearson,0.9698146115100831,990
CS2_37,HF2,48,pearson,-0.7830829593930926,990
CS2_37,HF3,48,pearson,0.18611533866031268,990
CS2_37,HF4,48,pearson,0.8409593041330464,990
CS2_37,HF5,48,pearson,0.7945216398691426,990
CS2_37,HF6,48,pearson,0.6820021987466844,990
CS2_37,HF7,48,pearson,0.9696383265459082,990
CS2_37,HF8,48,pearson,-0.8068356896438853,990
CS2_37,SOH,64,pearson,0.9597408088229086,974
CS2_37,HF1,64,pearson,0.9668043092139537,974
CS2_37,HF2,64,pearson,-0.8311924179584582,974
CS2_37,HF3,64,pearson,0.1690881975127432,974
CS2_37,HF4,64,pearson,0.833032213130678,974
CS2_37,HF5,64,pearson,0.7727205005733129,974
CS2_37,HF6,64,pearson,0.6565765700873112,974
CS2_37,HF7,64,pearson,0.9666798719214168,974
CS2_37,HF8,64,pearson,-0.8422843544939747,974
CS2_38,SOH,1,pearson,0.9487616638193457,1027
CS2_38,HF1,1,pearson,0.967604071479632,1027
CS2_38,HF2,1,pearson,-0.681573509526233,1027
CS2_38,HF3,1,pearson,0.14415210805768966,1027
CS2_38,HF4,1,pearson,0.9355879659027941,1027
