battery,state_definition,state,horizon,feature_group,mae_full,mae_without,lofo_value,n_state_samples,reliable,rank
CS2_37,degradation_dynamics,Slow,4,Group_CV,0.01463603252012827,0.01462894084172871,-7.0916783995612215e-06,228,True,3.0
CS2_37,degradation_dynamics,Slow,4,Group_EnergyEfficiency,0.01463603252012827,0.015003317988609918,0.00036728546848164775,228,True,2.0
CS2_37,degradation_dynamics,Slow,4,Group_DischargeIC,0.01463603252012827,0.01382874991978693,-0.0008072826003413403,228,True,4.0
CS2_37,degradation_dynamics,Medium,4,Group_CC,0.011438864573470788,0.011571752802379985,0.00013288822890919656,289,True,1.0
CS2_37,degradation_dynamics,Medium,4,Group_CV,0.011438864573470788,0.011461242634091819,2.2378060621030746e-05,289,True,4.0
CS2_37,degradation_dynamics,Medium,4,Group_EnergyEfficiency,0.011438864573470788,0.011465690996902011,2.6826423431223004e-05,289,True,3.0
CS2_37,degradation_dynamics,Medium,4,Group_DischargeIC,0.011438864573470788,0.011491855863553713,5.299129008292519e-05,289,True,2.0
CS2_37,degradation_dynamics,Fast,4,Group_CC,0.015755711203984182,0.01595507968671689,0.00019936848273270635,315,True,1.0
CS2_37,degradation_dynamics,Fast,4,Group_CV,0.015755711203984182,0.01577095798914488,1.5246785160696885e-05,315,True,3.0
CS2_37,degradation_dynamics,Fast,4,Group_EnergyEfficiency,0.015755711203984182,0.0157730948864731,1.7383682488918833e-05,315,True,2.0
CS2_37,degradation_dynamics,Fast,4,Group_DischargeIC,0.015755711203984182,0.0157705875819126,1.48763779284182e-05,315,True,4.0
CS2_38,degradation_dynamics,Slow,4,Group_CC,0.018387484137145842,0.019142248165350432,0.0007547640282045895,288,True,1.0
CS2_38,degradation_dynamics,Slow,4,Group_CV,0.018387484137145842,0.018273895862943618,-0.0001135882742022247,288,True,4.0
CS2_38,degradation_dynamics,Slow,4,Group_EnergyEfficiency,0.018387484137145842,0.018860561051822964,0.0004730769146771216,288,True,2.0
CS2_38,degradation_dynamics,Slow,4,Group_DischargeIC,0.018387484137145842,0.018578992434062594,0.00019150829691675156,288,True,3.0
CS2_38,degradation_dynamics,Medium,4,Group_CC,0.013174531903855964,0.01361291366678132,0.0004383817629253564,265,True,1.0
CS2_38,degradation_dynamics,Medium,4,Group_CV,0.013174531903855964,0.013127096976209797,-4.743492764616719e-05,265,True,4.0
CS2_38,degradation_dynamics,Medium,4,Group_EnergyEfficiency,0.013174531903855964,0.01331113013245266,0.00013659822859669705,265,True,3.0
CS2_38,degradation_dynamics,Medium,4,Group_DischargeIC,0.013174531903855964,0.013434085045746193,0.00025955314189022964,265,True,2.0
CS2_38,degradation_dynamics,Fast,4,Group_CC,0.01538591001201795,0.016090683883669018,0.0007047738716510678,301,True,1.0
CS2_38,degradation_dynamics,Fast,4,Group_CV,0.01538591001201795,0.015302905369319523,-8.300464269842683e-05,301,True,3.0
CS2_38,degradation_dynamics,Fast,4,Group_EnergyEfficiency,0.01538591001201795,0.01583100949251143,0.00044509948049348096,301,True,2.0
CS2_38,degradation_dynamics,Fast,4,Group_DischargeIC,0.01538591001201795,0.015215817578044908,-0.0001700924339730417,301,True,4.0
CS2_35,degradation_dynamics,Slow,8,Group_CC,0.013695686921482127,0.014805851212674408,0.0011101642911922806,265,True,1.0
CS2_35,degradation_dynamics,Slow,8,Group_CV,0.013695686921482127,0.013618198743300638,-7.748817818148922e-05,265,True,4.0
CS2_35,degradation_dynamics,Slow,8,Group_EnergyEfficiency,0.013695686921482127,0.014155295850356311,0.0004596089288741844,265,True,2.0
CS2_35,degradation_dynamics,Slow,8,Group_DischargeIC,0.013695686921482127,0.014024693885535535,0.000329006964053408,265,True,3.0
CS2_35,degradation_dynamics,Medium,8,Group_CC,0.011369607399233055,0.011550458591552399,0.0001808511923193437,213,True,2.0
CS2_35,degradation_dynamics,Medium,8,Group_CV,0.011369607399233055,0.011045034022736171,-0.0003245733764968839,213,True,4.0
CS2_35,degradation_dynamics,Medium,8,Group_EnergyEfficiency,0.011369607399233055,0.011414856699714463,4.5249300481407795e-05,213,True,3.0
CS2_35,degradation_dynamics,Medium,8,Group_DischargeIC,0.011369607399233055,0.012307650659366617,0.0009380432601335618,213,True,1.0
CS2_35,degradation_dynamics,Fast,8,Group_CC,0.014247205204211995,0.014849952796975504,0.0006027475927635091,226,True,1.0
CS2_35,degradation_dynamics,Fast,8,Group_CV,0.014247205204211995,0.013999833068620153,-0.0002473721355918425,226,True,4.0
CS2_35,degradation_dynamics,Fast,8,Group_EnergyEfficiency,0.014247205204211995,0.014572895481506636,0.0003256902772946404,226,True,2.0
CS2_35,degradation_dynamics,Fast,8,Group_DischargeIC,0.014247205204211995,0.014393820896458631,0.000146615692246636,226,True,3.0
CS2_36,degradation_dynamics,Slow,8,Group_CC,0.02019363092761569,0.021022730975323558,0.0008291000477078682,246,True,1.0
CS2_36,degradation_dynamics,Slow,8,Group_CV,0.02019363092761569,0.02023268366837317,3.9052740757480886e-05,246,True,3.0
CS2_36,degradation_dynamics,Slow,8,Group_EnergyEfficiency,0.02019363092761569,0.02047423916165092,0.00028060823403523033,246,True,2.0
CS2_36,degradation_dynamics,Slow,8,Group_DischargeIC,0.02019363092761569,0.020093074384587524,-0.00010055654302816575,246,True,4.0
CS2_36,degradation_dynamics,Medium,8,Group_CC,0.01675421588313758,0.017409827208848438,0.000655611325710858,229,True,1.0
CS2_36,degradation_dynamics,Medium,8,Group_CV,0.01675421588313758,0.016295334562269354,-0.0004588813208682256,229,True,4.0
CS2_36,degradation_dynamics,Medium,8,Group_EnergyEfficiency,0.01675421588313758,0.01693603536729963,0.00018181948416205046,229,True,2.0
CS2_36,degradation_dynamics,Medium,8,Group_DischargeIC,0.01675421588313758,0.016678513811474997,-7.570207166258253e-05,229,True,3.0
CS2_36,degradation_dynamics,Fast,8,Group_CC,0.01913944323502628,0.020330386739839418,0.001190943504813139,352,True,1.0
CS2_36,degradation_dynamics,Fast,8,Group_CV,0.01913944323502628,0.019082969273643505,-5.647396138277333e-05,352,True,4.0
CS2_36,degradation_dynamics,Fast,8,Group_EnergyEfficiency,0.01913944323502628,0.01968728549030763,0.0005478422552813514,352,True,2.0
CS2_36,degradation_dynamics,Fast,8,Group_DischargeIC,0.01913944323502628,0.019095949108104145,-4.3494126922134085e-05,352,True,3.0
CS2_37,degradation_dynamics,Slow,8,Group_CC,0.018996327159426746,0.019523428942623346,0.0005271017831965999,231,True,1.0
CS2_37,degradation_dynamics,Slow,8,Group_CV,0.018996327159426746,0.01905510563920417,5.8778479777425036e-05,231,True,3.0
CS2_37,degradation_dynamics,Slow,8,Group_EnergyEfficiency,0.018996327159426746,0.019163687376729632,0.00016736021730288583,231,True,2.0
CS2_37,degradation_dynamics,Slow,8,Group_DischargeIC,0.018996327159426746,0.018695783501084976,-0.0003005436583417703,231,True,4.0
CS2_37,degradation_dynamics,Medium,8,Group_CC,0.012000126111662285,0.012189004079249778,0.00018887796758749326,284,True,1.0
CS2_37,degradation_dynamics,Medium,8,Group_CV,0.012000126111662285,0.011945534500818084,-5.459161084420128e-05,284,True,4.0
CS2_37,degradation_dynamics,Medium,8,Group_EnergyEfficiency,0.012000126111662285,0.012007780203262047,7.654091599761798e-06,284,True,2.0
CS2_37,degradation_dynamics,Medium,8,Group_DischargeIC,0.012000126111662285,0.011973494541815689,-2.6631569846596176e-05,284,True,3.0
CS2_37,degradation_dynamics,Fast,8,Group_CC,0.014723000536122981,0.01528501711207176,0.0005620165759487785,313,True,1.0
CS2_37,degradation_dynamics,Fast,8,Group_CV,0.014723000536122981,0.014562833255562404,-0.0001601672805605775,313,True,4.0
CS2_37,degradation_dynamics,Fast,8,Group_EnergyEfficiency,0.014723000536122981,0.014907020502433348,0.00018401996631036734,313,True,2.0
CS2_37,degradation_dynamics,Fast,8,Group_DischargeIC,0.014723000536122981,0.014668720781463931,-5.427975465904962e-05,313,True,3.0
CS2_38,degradation_dynamics,Slow,8,Group_CC,0.017181262807108393,0.017827261839173398,0.0006459990320650047,290,True,1.0
CS2_38,degradation_dynamics,Slow,8,Group_CV,0.017181262807108393,0.01741037634156679,0.00022911353445839722,290,True,4.0
CS2_38,degradation_dynamics,Slow,8,Group_EnergyEfficiency,0.017181262807108393,0.017412866380051174,0.0002316035729427804,290,True,3.0
CS2_38,degradation_dynamics,Slow,8,Group_DischargeIC,0.017181262807108393,0.017542155419613074,0.00036089261250468047,290,True,2.0
CS2_38,degradation_dynamics,Medium,8,Group_CC,0.012479308639945935,0.013019072310450214,0.0005397636705042792,265,True,1.0
CS2_38,degradation_dynamics,Medium,8,Group_CV,0.012479308639945935,0.012571873563628377,9.256492368244287e-05,265,True,4.0
CS2_38,degradation_dynamics,Medium,8,Group_EnergyEfficiency,0.012479308639945935,0.012624037209269186,0.00014472856932325195,265,True,3.0
CS2_38,degradation_dynamics,Medium,8,Group_DischargeIC,0.012479308639945935,0.012679590779274658,0.00020028213932872345,265,True,2.0
CS2_38,degradation_dynamics,Fast,8,Group_CC,0.017609749093869687,0.01826849104222503,0.0006587419483553431,295,True,1.0
CS2_38,degradation_dynamics,Fast,8,Group_CV,0.017609749093869687,0.01781256580499873,0.00020281671112904257,295,True,3.0
CS2_38,degradation_dynamics,Fast,8,Group_EnergyEfficiency,0.017609749093869687,0.017922917277394042,0.0003131681835243545,295,True,2.0
CS2_38,degradation_dynamics,Fast,8,Group_DischargeIC,0.017609749093869687,0.017471459144073657,-0.0001382899497960298,295,True,4.0
CS2_35,degradation_dynamics,Slow,12,Group_CC,0.015987551902165834,0.01638160806283914,0.0003940561606733048,265,True,1.0
CS2_35,degradation_dynamics,Slow,12,Group_CV,0.015987551902165834,0.015975990356515875,-1.1561545649959454e-05,265,True,4.0
CS2_35,degradation_dynamics,Slow,12,Group_EnergyEfficiency,0.015987551902165834,0.016092342956291295,0.00010479105412546097,265,True,3.0
CS2_35,degradation_dynamics,Slow,12,Group_DischargeIC,0.015987551902165834,0.016198567782250265,0.00021101588008443084,265,True,2.0
CS2_35,degradation_dynamics,Medium,12,Group_CC,0.01208720876928306,0.01228768256384987,0.00020047379456681128,214,True,2.0
CS2_35,degradation_dynamics,Medium,12,Group_CV,0.01208720876928306,0.01225664783093109,0.00016943906164803083,214,True,3.0
CS2_35,degradation_dynamics,Medium,12,Group_EnergyEfficiency,0.01208720876928306,0.012092102480280822,4.893710997763007e-06,214,True,4.0
CS2_35,degradation_dynamics,Medium,12,Group_DischargeIC,0.01208720876928306,0.013000747400002155,0.0009135386307190952,214,True,1.0
CS2_35,degradation_dynamics,Fast,12,Group_CC,0.015794186145329275,0.016392690852548426,0.000598504707219151,221,True,1.0
CS2_35,degradation_dynamics,Fast,12,Group_CV,0.015794186145329275,0.016090656100113482,0.00029646995478420715,221,True,3.0
CS2_35,degradation_dynamics,Fast,12,Group_EnergyEfficiency,0.015794186145329275,0.016208808783433247,0.00041462263810397235,221,True,2.0
