battery,state_definition,state,horizon,feature_group,mae_full,mae_without,lofo_value,n_state_samples,reliable
CS2_37,cycle_position,Early-life,1,Group_EnergyEfficiency,0.01595565094732564,0.01624064334513839,0.0002849923978127493,301,True
CS2_37,cycle_position,Early-life,1,Group_DischargeIC,0.01595565094732564,0.01593634697117619,-1.930397614945123e-05,301,True
CS2_37,cycle_position,Mid-life,1,Group_CC,0.00796095762015729,0.008211979268640687,0.00025102164848339777,331,True
CS2_37,cycle_position,Mid-life,1,Group_CV,0.00796095762015729,0.008001540870883108,4.0583250725818865e-05,331,True
CS2_37,cycle_position,Mid-life,1,Group_EnergyEfficiency,0.00796095762015729,0.008246684896489474,0.0002857272763321841,331,True
CS2_37,cycle_position,Mid-life,1,Group_DischargeIC,0.00796095762015729,0.008791961633437288,0.0008310040132799984,331,True
CS2_37,cycle_position,Late-life,1,Group_CC,0.013541706930913139,0.014270022847173451,0.0007283159162603126,374,True
CS2_37,cycle_position,Late-life,1,Group_CV,0.013541706930913139,0.0134665359160189,-7.517101489423923e-05,374,True
CS2_37,cycle_position,Late-life,1,Group_EnergyEfficiency,0.013541706930913139,0.013863246401255941,0.00032153947034280206,374,True
CS2_37,cycle_position,Late-life,1,Group_DischargeIC,0.013541706930913139,0.013481695374117862,-6.001155679527699e-05,374,True
CS2_38,soh_level,Early,1,Group_CC,0.013731500064557445,0.01448303865345697,0.0007515385888995241,597,True
CS2_38,soh_level,Early,1,Group_CV,0.013731500064557445,0.014168528710474323,0.00043702864591687804,597,True
CS2_38,soh_level,Early,1,Group_EnergyEfficiency,0.013731500064557445,0.013895427857447597,0.00016392779289015232,597,True
CS2_38,soh_level,Early,1,Group_DischargeIC,0.013731500064557445,0.013948469626215822,0.00021696956165837694,597,True
CS2_38,soh_level,Middle,1,Group_CC,0.015948418714106988,0.017012003000749367,0.0010635842866423793,277,True
CS2_38,soh_level,Middle,1,Group_CV,0.015948418714106988,0.016086046432700472,0.0001376277185934846,277,True
CS2_38,soh_level,Middle,1,Group_EnergyEfficiency,0.015948418714106988,0.016651193197813868,0.0007027744837068799,277,True
CS2_38,soh_level,Middle,1,Group_DischargeIC,0.015948418714106988,0.016218192387966728,0.00026977367385973977,277,True
CS2_38,soh_level,Late,1,Group_CC,0.011803537219420743,0.01303677523382691,0.0012332380144061666,118,True
CS2_38,soh_level,Late,1,Group_CV,0.011803537219420743,0.01233851290496197,0.0005349756855412263,118,True
CS2_38,soh_level,Late,1,Group_EnergyEfficiency,0.011803537219420743,0.012480271750448725,0.000676734531027982,118,True
CS2_38,soh_level,Late,1,Group_DischargeIC,0.011803537219420743,0.011787238284625237,-1.6298934795506287e-05,118,True
CS2_38,degradation_dynamics,Slow,1,Group_CC,0.016992232734661793,0.018017476716584796,0.0010252439819230033,289,True
CS2_38,degradation_dynamics,Slow,1,Group_CV,0.016992232734661793,0.017616015480978672,0.0006237827463168796,289,True
CS2_38,degradation_dynamics,Slow,1,Group_EnergyEfficiency,0.016992232734661793,0.017623276322590045,0.0006310435879282525,289,True
CS2_38,degradation_dynamics,Slow,1,Group_DischargeIC,0.016992232734661793,0.017465445030351412,0.00047321229568961926,289,True
CS2_38,degradation_dynamics,Medium,1,Group_CC,0.011349855096096468,0.011967824495248115,0.000617969399151647,265,True
CS2_38,degradation_dynamics,Medium,1,Group_CV,0.011349855096096468,0.01159344476225454,0.00024358966615807207,265,True
CS2_38,degradation_dynamics,Medium,1,Group_EnergyEfficiency,0.011349855096096468,0.011575587598598053,0.0002257325025015848,265,True
CS2_38,degradation_dynamics,Medium,1,Group_DischargeIC,0.011349855096096468,0.011811994477101777,0.0004621393810053092,265,True
CS2_38,degradation_dynamics,Fast,1,Group_CC,0.013404325005332495,0.01433796372744144,0.0009336387221089461,303,True
CS2_38,degradation_dynamics,Fast,1,Group_CV,0.013404325005332495,0.01375550098413781,0.000351175978805315,303,True
CS2_38,degradation_dynamics,Fast,1,Group_EnergyEfficiency,0.013404325005332495,0.01399639955525584,0.0005920745499233444,303,True
CS2_38,degradation_dynamics,Fast,1,Group_DischargeIC,0.013404325005332495,0.013351530498102454,-5.279450723004106e-05,303,True
CS2_38,cycle_position,Early-life,1,Group_CC,0.01768551239897735,0.0185901716476966,0.0009046592487192487,301,True
CS2_38,cycle_position,Early-life,1,Group_CV,0.01768551239897735,0.01831385708927141,0.0006283446902940575,301,True
CS2_38,cycle_position,Early-life,1,Group_EnergyEfficiency,0.01768551239897735,0.018094264571649275,0.0004087521726719237,301,True
CS2_38,cycle_position,Early-life,1,Group_DischargeIC,0.01768551239897735,0.01759264907224994,-9.286332672741107e-05,301,True
CS2_38,cycle_position,Mid-life,1,Group_CC,0.01014869360892017,0.010848526073961728,0.0006998324650415583,331,True
CS2_38,cycle_position,Mid-life,1,Group_CV,0.01014869360892017,0.010426666302918991,0.00027797269399882155,331,True
CS2_38,cycle_position,Mid-life,1,Group_EnergyEfficiency,0.01014869360892017,0.010218902790989385,7.02091820692155e-05,331,True
CS2_38,cycle_position,Mid-life,1,Group_DischargeIC,0.01014869360892017,0.010576230406646101,0.0004275367977259314,331,True
CS2_38,cycle_position,Late-life,1,Group_CC,0.014683608806804964,0.01582872729422476,0.001145118487419796,364,True
CS2_38,cycle_position,Late-life,1,Group_CV,0.014683608806804964,0.014919203577233881,0.00023559477042891727,364,True
CS2_38,cycle_position,Late-life,1,Group_EnergyEfficiency,0.014683608806804964,0.015366086786323703,0.0006824779795187395,364,True
CS2_38,cycle_position,Late-life,1,Group_DischargeIC,0.014683608806804964,0.014919363786138236,0.00023575497933327194,364,True
CS2_35,soh_level,Early,4,Group_CC,0.011456420497085921,0.011755024425435247,0.00029860392834932595,541,True
CS2_35,soh_level,Early,4,Group_CV,0.011456420497085921,0.011434428483517752,-2.199201356816935e-05,541,True
CS2_35,soh_level,Early,4,Group_EnergyEfficiency,0.011456420497085921,0.011654257873559969,0.00019783737647404744,541,True
CS2_35,soh_level,Early,4,Group_DischargeIC,0.011456420497085921,0.01169920594406303,0.00024278544697710867,541,True
CS2_35,soh_level,Middle,4,Group_CC,0.015975970717171682,0.01732502651534945,0.0013490557981777687,230,True
CS2_35,soh_level,Middle,4,Group_CV,0.015975970717171682,0.01592154788924853,-5.442282792315206e-05,230,True
CS2_35,soh_level,Middle,4,Group_EnergyEfficiency,0.015975970717171682,0.0168062706168945,0.0008302998997228167,230,True
CS2_35,soh_level,Middle,4,Group_DischargeIC,0.015975970717171682,0.01606639166184857,9.04209446768861e-05,230,True
CS2_35,soh_level,Late,4,Group_CC,0.026311054246876686,0.027769895550229604,0.001458841303352918,72,True
CS2_35,soh_level,Late,4,Group_CV,0.026311054246876686,0.02613197274128594,-0.00017908150559074743,72,True
CS2_35,soh_level,Late,4,Group_EnergyEfficiency,0.026311054246876686,0.027136523862661074,0.0008254696157843876,72,True
CS2_35,soh_level,Late,4,Group_DischargeIC,0.026311054246876686,0.026348384928752064,3.733068187537769e-05,72,True
CS2_35,degradation_dynamics,Slow,4,Group_CC,0.014432332158294536,0.015228103956564515,0.0007957717982699786,265,True
CS2_35,degradation_dynamics,Slow,4,Group_CV,0.014432332158294536,0.014392489891207822,-3.984226708671386e-05,265,True
CS2_35,degradation_dynamics,Slow,4,Group_EnergyEfficiency,0.014432332158294536,0.014883643881970833,0.0004513117236762971,265,True
CS2_35,degradation_dynamics,Slow,4,Group_DischargeIC,0.014432332158294536,0.014720755473399155,0.00028842331510461894,265,True
CS2_35,degradation_dynamics,Medium,4,Group_CC,0.008768639716387716,0.009185032910140917,0.00041639319375320026,214,True
CS2_35,degradation_dynamics,Medium,4,Group_CV,0.008768639716387716,0.008706906037316952,-6.173367907076448e-05,214,True
CS2_35,degradation_dynamics,Medium,4,Group_EnergyEfficiency,0.008768639716387716,0.008969663037533682,0.00020102332114596555,214,True
CS2_35,degradation_dynamics,Medium,4,Group_DischargeIC,0.008768639716387716,0.009135700991178369,0.00036706127479065216,214,True
CS2_35,degradation_dynamics,Fast,4,Group_CC,0.011802227707300696,0.012458162945949687,0.000655935238648991,229,True
CS2_35,degradation_dynamics,Fast,4,Group_CV,0.011802227707300696,0.011725145878294966,-7.708182900573006e-05,229,True
CS2_35,degradation_dynamics,Fast,4,Group_EnergyEfficiency,0.011802227707300696,0.012218929832895518,0.00041670212559482243,229,True
CS2_35,degradation_dynamics,Fast,4,Group_DischargeIC,0.011802227707300696,0.011817474748064036,1.5247040763340103e-05,229,True
CS2_35,cycle_position,Early-life,4,Group_CC,0.013677824242896318,0.013903384897851376,0.0002255606549550586,301,True
CS2_35,cycle_position,Early-life,4,Group_CV,0.013677824242896318,0.013681398013885479,3.5737709891611735e-06,301,True
CS2_35,cycle_position,Early-life,4,Group_EnergyEfficiency,0.013677824242896318,0.013821307455196795,0.00014348321230047735,301,True
CS2_35,cycle_position,Early-life,4,Group_DischargeIC,0.013677824242896318,0.01381076217539514,0.0001329379324988226,301,True
CS2_35,cycle_position,Mid-life,4,Group_CC,0.011315844469448201,0.011529305281099769,0.00021346081165156752,331,True
CS2_35,cycle_position,Mid-life,4,Group_CV,0.011315844469448201,0.011210374808414419,-0.00010546966103378193,331,True
CS2_35,cycle_position,Mid-life,4,Group_EnergyEfficiency,0.011315844469448201,0.011465815310037278,0.00014997084058907678,331,True
CS2_35,cycle_position,Mid-life,4,Group_DischargeIC,0.011315844469448201,0.011700284814003745,0.0003844403445555436,331,True
CS2_35,cycle_position,Late-life,4,Group_CC,0.019268766450778255,0.020799073983716217,0.0015303075329379627,215,True
CS2_35,cycle_position,Late-life,4,Group_CV,0.019268766450778255,0.01913657414351137,-0.00013219230726688527,215,True
CS2_35,cycle_position,Late-life,4,Group_EnergyEfficiency,0.019268766450778255,0.02016527786886242,0.0008965114180841637,215,True
CS2_35,cycle_position,Late-life,4,Group_DischargeIC,0.019268766450778255,0.019206092070980507,-6.267437979774748e-05,215,True
CS2_36,soh_level,Early,4,Group_CC,0.01684926604723727,0.01745284205195074,0.0006035760047134672,495,True
CS2_36,soh_level,Early,4,Group_CV,0.01684926604723727,0.01685996672881023,1.0700681572960169e-05,495,True
CS2_36,soh_level,Early,4,Group_EnergyEfficiency,0.01684926604723727,0.01732611251995949,0.00047684647272221853,495,True
CS2_36,soh_level,Early,4,Group_DischargeIC,0.01684926604723727,0.016778825787509576,-7.044025972769569e-05,495,True
CS2_36,soh_level,Middle,4,Group_CC,0.0184616565314243,0.019327569598903502,0.0008659130674792022,261,True
CS2_36,soh_level,Middle,4,Group_CV,0.0184616565314243,0.018563918202269842,0.00010226167084554164,261,True
CS2_36,soh_level,Middle,4,Group_EnergyEfficiency,0.0184616565314243,0.01881606743050801,0.0003544108990837097,261,True
CS2_36,soh_level,Middle,4,Group_DischargeIC,0.0184616565314243,0.018382059070469192,-7.959746095510811e-05,261,True
CS2_36,soh_level,Late,4,Group_CC,0.017976973090151078,0.01873981774259976,0.0007628446524486805,179,True
CS2_36,soh_level,Late,4,Group_CV,0.017976973090151078,0.01787334223967377,-0.00010363085047730702,179,True
CS2_36,soh_level,Late,4,Group_EnergyEfficiency,0.017976973090151078,0.01814295917523661,0.00016598608508553228,179,True
CS2_36,soh_level,Late,4,Group_DischargeIC,0.017976973090151078,0.01793597968088416,-4.099340926691855e-05,179,True
CS2_36,degradation_dynamics,Slow,4,Group_CC,0.01765658289055399,0.01833019858642613,0.0006736156958721401,244,True
CS2_36,degradation_dynamics,Slow,4,Group_CV,0.01765658289055399,0.017686254961479266,2.967207092527749e-05,244,True
CS2_36,degradation_dynamics,Slow,4,Group_EnergyEfficiency,0.01765658289055399,0.01790454837679132,0.00024796548623733095,244,True
