battery,feature,horizon,metric,block_length,bootstrap_n_c,circular_estimate,circular_low,circular_high,circular_n,bootstrap_n_n,noncircular_estimate,noncircular_low,noncircular_high,n_effective,contiguous_segments,max_segment_length,bootstrap_type,ci_width_circular,ci_width_noncircular
CS2_35,HF7,32,degradation_spearman,20,1000,-0.3809133419869735,-0.5929531879734088,-0.1450243256928834,844,1000,-0.32402766536487015,-0.5421745887968547,-0.0491029857594732,844,9,343,non_circular_segmented,0.4479288622805254,0.49307160303738146
CS2_35,HF7,32,partial_pearson_controlling_SOH,20,1000,0.3555962261929074,0.1882195337726371,0.5502167378167244,844,1000,0.4987223813131557,0.3314382850304209,0.6160756342120621,844,9,343,non_circular_segmented,0.3619972040440873,0.28463734918164124
CS2_35,HF7,32,degradation_pearson,30,1000,-0.4983045140037474,-0.6618224028690757,-0.235489899997077,844,1000,-0.35924074780836096,-0.558338128429701,-0.15487383642894406,844,9,343,non_circular_segmented,0.42633250287199864,0.40346429200075695
CS2_35,HF7,32,degradation_spearman,30,1000,-0.3771352207041452,-0.5897188431307555,-0.0754295874489927,844,1000,-0.281806758815613,-0.5212268539029445,0.042534240734352836,844,9,343,non_circular_segmented,0.5142892556817629,0.5637610946372974
CS2_35,HF7,32,partial_pearson_controlling_SOH,30,1000,0.3482241139960851,0.1771359541772252,0.5523704456354998,844,1000,0.5288928570460134,0.39062608868016957,0.6347141466586079,844,9,343,non_circular_segmented,0.3752344914582746,0.24408805797843836
CS2_35,HF8,32,degradation_pearson,10,1000,0.4680386363459511,0.3066420769052241,0.5884956451822282,824,1000,0.46573377884562417,0.2904628534444585,0.5828356197962846,824,31,109,non_circular_segmented,0.2818535682770041,0.29237276635182613
CS2_35,HF8,32,degradation_spearman,10,1000,0.3694963235967186,0.1714188429741565,0.5154780357014206,824,1000,0.29962264290186025,0.09436581450554019,0.45641140657458,824,31,109,non_circular_segmented,0.3440591927272641,0.36204559206903986
CS2_35,HF8,32,partial_pearson_controlling_SOH,10,1000,0.1968724011799955,0.0554469018386223,0.3478068385204541,824,1000,0.21765461451360232,0.09490181602566726,0.37551231494637405,824,31,109,non_circular_segmented,0.2923599366818318,0.2806104989207068
CS2_35,HF8,32,degradation_pearson,20,1000,0.462588987626522,0.2319061192746121,0.6147606775476157,824,1000,0.4134705200662454,0.11365895001276873,0.6047196058829055,824,31,109,non_circular_segmented,0.3828545582730035,0.4910606558701368
CS2_35,HF8,32,degradation_spearman,20,1000,0.3672498265589021,0.1165894298237294,0.5620507584579099,824,1000,0.21622228959014733,-0.0683193362983678,0.4576395638320584,824,31,109,non_circular_segmented,0.4454613286341805,0.5259589001304262
CS2_35,HF8,32,partial_pearson_controlling_SOH,20,1000,0.19689179194156,0.0173206170454324,0.3775129164281295,824,1000,0.27544380802106283,0.0640254274916443,0.42385895053617156,824,31,109,non_circular_segmented,0.3601922993826971,0.35983352304452726
CS2_35,HF8,32,degradation_pearson,30,1000,0.4518704817780933,0.2026199006121964,0.6149045612037688,824,1000,0.30079280944289455,-0.061017985229369,0.5326585970919883,824,31,109,non_circular_segmented,0.4122846605915724,0.5936765823213572
CS2_35,HF8,32,degradation_spearman,30,1000,0.3584445635218835,0.0783274847900714,0.5733418081221993,824,1000,0.09726698403424856,-0.2495173268194782,0.39317995076655515,824,31,109,non_circular_segmented,0.49501432333212786,0.6426972775860333
CS2_35,HF8,32,partial_pearson_controlling_SOH,30,1000,0.1926399000182704,0.01720721297106,0.3877053285163198,824,1000,0.17278933877206404,-0.0048099232820769545,0.3700523259390317,824,31,109,non_circular_segmented,0.3704981155452598,0.37486224922110867
CS2_35,HF1,48,degradation_pearson,10,1000,-0.6351389339354875,-0.7396065137030524,-0.4957100665373791,828,1000,-0.6523214993319948,-0.755442078786148,-0.5028030076188862,828,9,327,non_circular_segmented,0.24389644716567332,0.2526390711672618
CS2_35,HF1,48,degradation_spearman,10,1000,-0.4611067367086124,-0.6051329585977385,-0.2755039136559433,828,1000,-0.4751070736935894,-0.6172511455539504,-0.287212766988205,828,9,327,non_circular_segmented,0.32962904494179524,0.3300383785657454
CS2_35,HF1,48,partial_pearson_controlling_SOH,10,1000,0.3781106868938536,0.200486893705432,0.5662409920714471,828,1000,0.5073059241709822,0.3193392019352663,0.6090680240757887,828,9,327,non_circular_segmented,0.3657540983660151,0.2897288221405224
CS2_35,HF1,48,degradation_pearson,20,1000,-0.6307764616071159,-0.7596829776909446,-0.4132108071447172,828,1000,-0.6432149509286655,-0.7749352472525588,-0.4243374547554514,828,9,327,non_circular_segmented,0.3464721705462274,0.3505977924971074
CS2_35,HF1,48,degradation_spearman,20,1000,-0.4607987696151696,-0.6373247140349705,-0.1987103050107606,828,1000,-0.4692571190469881,-0.6639618700634506,-0.1878499688465084,828,9,327,non_circular_segmented,0.4386144090242099,0.47611190121694225
CS2_35,HF1,48,partial_pearson_controlling_SOH,20,1000,0.3711745512596894,0.195861342147297,0.5758235528698327,828,1000,0.5289839681657009,0.35318504383820215,0.6425576224190579,828,9,327,non_circular_segmented,0.37996221072253566,0.28937257858085574
CS2_35,HF1,48,degradation_pearson,30,1000,-0.6252976778857811,-0.7571178679762643,-0.3644291598406877,828,1000,-0.6236871556489028,-0.7964424017186511,-0.3488028751833676,828,9,327,non_circular_segmented,0.39268870813557666,0.4476395265352835
CS2_35,HF1,48,degradation_spearman,30,1000,-0.4519970134967129,-0.6577351782644094,-0.1371822279244138,828,1000,-0.4498885296077587,-0.6774943052108802,-0.08464460290599324,828,9,327,non_circular_segmented,0.5205529503399956,0.5928497023048869
CS2_35,HF1,48,partial_pearson_controlling_SOH,30,1000,0.3731561731986424,0.193337793183309,0.5846225185492034,828,1000,0.5632527579989799,0.3836696528526562,0.6745782131118732,828,9,327,non_circular_segmented,0.3912847253658944,0.29090856025921696
CS2_35,HF2,48,degradation_pearson,10,1000,0.5569424910715324,0.3896868451227814,0.6680802883923695,808,1000,0.6086052027560297,0.4216561833513517,0.7116511754530522,808,31,98,non_circular_segmented,0.27839344326958815,0.28999499210170054
CS2_35,HF2,48,degradation_spearman,10,1000,0.4213194337325922,0.2276608796784271,0.5686012847459233,808,1000,0.3962120646794623,0.18678086017391962,0.5607612113852588,808,31,98,non_circular_segmented,0.34094040506749623,0.3739803512113392
CS2_35,HF2,48,partial_pearson_controlling_SOH,10,1000,0.2492408468954615,0.1337617259807027,0.3761773383402907,808,1000,0.3137247570784896,0.16694066994294032,0.4373005724953966,808,31,98,non_circular_segmented,0.242415612359588,0.2703599025524563
CS2_35,HF2,48,degradation_pearson,20,1000,0.5572239603276834,0.3252816584373152,0.6937199451221743,808,1000,0.6303152647350951,0.35982239390601006,0.7609775689079925,808,31,98,non_circular_segmented,0.36843828668485906,0.40115517500198244
CS2_35,HF2,48,degradation_spearman,20,1000,0.4200762190497881,0.1457228863255647,0.6199785615795088,808,1000,0.38576959223169865,0.059237091826188935,0.6214943866518952,808,31,98,non_circular_segmented,0.4742556752539441,0.5622572948257062
CS2_35,HF2,48,partial_pearson_controlling_SOH,20,1000,0.2444417841510178,0.123494066581383,0.3837587026011546,808,1000,0.3171643905966579,0.15059460854656073,0.459379108149405,808,31,98,non_circular_segmented,0.26026463601977157,0.30878449960284426
CS2_35,HF2,48,degradation_pearson,30,1000,0.5514293824143948,0.2564902392138094,0.712080147185473,808,1000,0.6589155534299198,0.23531919078697977,0.8040137149971186,808,31,98,non_circular_segmented,0.45558990797166354,0.5686945242101389
CS2_35,HF2,48,degradation_spearman,30,1000,0.4130552276850886,0.1036112078351597,0.6266999111065866,808,1000,0.34070456160059187,-0.08465567774695745,0.660963250004752,808,31,98,non_circular_segmented,0.5230887032714269,0.7456189277517095
CS2_35,HF2,48,partial_pearson_controlling_SOH,30,1000,0.2402866601111437,0.1081418407760541,0.3755530261217866,808,1000,0.286182114424958,0.08892733686544084,0.4365634958852464,808,31,98,non_circular_segmented,0.2674111853457325,0.34763615901980555
CS2_35,HF3,48,degradation_pearson,10,1000,-0.2256020425400934,-0.6937257932559066,-0.1287930327309498,806,1000,-0.6193615662811953,-0.7671075522803866,-0.17766752308324607,806,31,98,non_circular_segmented,0.5649327605249568,0.5894400291971406
