battery,feature,horizon,metric,value,rmse,alpha,history_length,n_test
CS2_37,C_complete_case_HF456,1,MAE,0.009986507024743078,0.03972705213313727,100.0,1,640
CS2_38,C_complete_case_HF456,1,MAE,0.008661127047057893,0.022188685381947782,0.01,1,548
CS2_38,C_complete_case_HF456,1,MAE,0.008790623480576914,0.022162444235514694,0.1,1,548
CS2_38,C_complete_case_HF456,1,MAE,0.008803181658383789,0.022145608555238967,1.0,1,548
CS2_38,C_complete_case_HF456,1,MAE,0.009095810414043427,0.022349563640038338,10.0,1,548
CS2_38,C_complete_case_HF456,1,MAE,0.010032710852539997,0.023162664611218308,100.0,1,548
CS2_35,A_drop_HF456,4,MAE,0.014314014672444078,0.03253008543951017,0.01,1,878
CS2_35,A_drop_HF456,4,MAE,0.014286702350982452,0.03255712093228441,0.1,1,878
CS2_35,A_drop_HF456,4,MAE,0.014262812342055052,0.032549131114244644,1.0,1,878
CS2_35,A_drop_HF456,4,MAE,0.014204706100692474,0.03233142700329979,10.0,1,878
CS2_35,A_drop_HF456,4,MAE,0.014643488905844788,0.031677670480073264,100.0,1,878
CS2_36,A_drop_HF456,4,MAE,0.01643324392617266,0.05315049729372178,0.01,1,969
CS2_36,A_drop_HF456,4,MAE,0.016472695638731574,0.05317112036334849,0.1,1,969
CS2_36,A_drop_HF456,4,MAE,0.016495905283346532,0.05318879788900854,1.0,1,969
CS2_36,A_drop_HF456,4,MAE,0.016458039523088604,0.05322300003988186,10.0,1,969
CS2_36,A_drop_HF456,4,MAE,0.01740267930633266,0.053506975174559594,100.0,1,969
CS2_37,A_drop_HF456,4,MAE,0.014335727369425125,0.03953857840654951,0.01,1,1034
CS2_37,A_drop_HF456,4,MAE,0.014259071997417699,0.039508885929926275,0.1,1,1034
CS2_37,A_drop_HF456,4,MAE,0.014227766151697869,0.039498636848556944,1.0,1,1034
CS2_37,A_drop_HF456,4,MAE,0.014244669615194097,0.03949526434158984,10.0,1,1034
CS2_37,A_drop_HF456,4,MAE,0.01516505844227753,0.039896946799415474,100.0,1,1034
CS2_38,A_drop_HF456,4,MAE,0.015550775820158035,0.04575065455819623,0.01,1,1024
CS2_38,A_drop_HF456,4,MAE,0.015296482416359981,0.04562120480162955,0.1,1,1024
CS2_38,A_drop_HF456,4,MAE,0.015212580863300879,0.04557111634208522,1.0,1,1024
CS2_38,A_drop_HF456,4,MAE,0.015356179775256888,0.04561385103525647,10.0,1,1024
CS2_38,A_drop_HF456,4,MAE,0.016548314353856265,0.04595557678036125,100.0,1,1024
CS2_35,B_HF456_median,4,MAE,0.014150914505209984,0.03241680911874837,0.01,1,878
CS2_35,B_HF456_median,4,MAE,0.014126744948011164,0.0324477058916535,0.1,1,878
CS2_35,B_HF456_median,4,MAE,0.014105608665902821,0.03243847487548369,1.0,1,878
CS2_35,B_HF456_median,4,MAE,0.014046490107700075,0.03222049709422348,10.0,1,878
CS2_35,B_HF456_median,4,MAE,0.014429756473495998,0.031544962269400914,100.0,1,878
CS2_36,B_HF456_median,4,MAE,0.016304541456794414,0.05317898535064427,0.01,1,969
CS2_36,B_HF456_median,4,MAE,0.016303456061050582,0.05320449253939719,0.1,1,969
CS2_36,B_HF456_median,4,MAE,0.01630584230302552,0.05322164182403632,1.0,1,969
CS2_36,B_HF456_median,4,MAE,0.016291226127990818,0.05323514409563726,10.0,1,969
CS2_36,B_HF456_median,4,MAE,0.017221899118542397,0.053428990040115885,100.0,1,969
CS2_37,B_HF456_median,4,MAE,0.014513526519271385,0.03962778239688517,0.01,1,1034
CS2_37,B_HF456_median,4,MAE,0.014450403158266045,0.0396205931435184,0.1,1,1034
CS2_37,B_HF456_median,4,MAE,0.014446040172158043,0.039625499849979255,1.0,1,1034
CS2_37,B_HF456_median,4,MAE,0.014515318124468256,0.03963701388609831,10.0,1,1034
CS2_37,B_HF456_median,4,MAE,0.015546250220222052,0.040062125823912775,100.0,1,1034
CS2_38,B_HF456_median,4,MAE,0.015421233839601376,0.04579213169844883,0.01,1,1024
CS2_38,B_HF456_median,4,MAE,0.015131627516291027,0.04558499146740432,0.1,1,1024
CS2_38,B_HF456_median,4,MAE,0.015063754159696935,0.04551168255008066,1.0,1,1024
CS2_38,B_HF456_median,4,MAE,0.01516221053130026,0.04553742218004053,10.0,1,1024
CS2_38,B_HF456_median,4,MAE,0.016150132255265456,0.04583003235538286,100.0,1,1024
CS2_35,B_HF456_median_indicators,4,MAE,0.01419204744098882,0.03231772689605945,0.01,1,878
CS2_35,B_HF456_median_indicators,4,MAE,0.014135371238459461,0.03238722639816523,0.1,1,878
CS2_35,B_HF456_median_indicators,4,MAE,0.014102742744714068,0.03239714425860572,1.0,1,878
CS2_35,B_HF456_median_indicators,4,MAE,0.014056157365862198,0.03218634616168016,10.0,1,878
CS2_35,B_HF456_median_indicators,4,MAE,0.014416061693492094,0.03152790230554214,100.0,1,878
CS2_36,B_HF456_median_indicators,4,MAE,0.016278780774474932,0.053134371155198146,0.01,1,969
CS2_36,B_HF456_median_indicators,4,MAE,0.016286713368184918,0.053176231059918685,0.1,1,969
