battery,horizon_1,horizon_2,metric,value
CS2_37,8,1,kendall_tau,0.8571428571428571
CS2_37,8,4,kendall_tau,0.8571428571428571
CS2_37,8,8,kendall_tau,0.9999999999999998
CS2_37,8,12,kendall_tau,0.7857142857142856
CS2_37,8,16,kendall_tau,0.5714285714285714
CS2_37,8,24,kendall_tau,0.4999999999999999
CS2_37,8,32,kendall_tau,0.3571428571428571
CS2_37,8,48,kendall_tau,0.21428571428571427
CS2_37,8,64,kendall_tau,0.14285714285714285
CS2_37,12,1,kendall_tau,0.7857142857142856
CS2_37,12,4,kendall_tau,0.7857142857142856
CS2_37,12,8,kendall_tau,0.7857142857142856
CS2_37,12,12,kendall_tau,0.9999999999999998
CS2_37,12,16,kendall_tau,0.7857142857142856
CS2_37,12,24,kendall_tau,0.7142857142857142
CS2_37,12,32,kendall_tau,0.42857142857142855
CS2_37,12,48,kendall_tau,0.2857142857142857
CS2_37,12,64,kendall_tau,0.3571428571428571
CS2_37,16,1,kendall_tau,0.5714285714285714
CS2_37,16,4,kendall_tau,0.5714285714285714
CS2_37,16,8,kendall_tau,0.5714285714285714
CS2_37,16,12,kendall_tau,0.7857142857142856
CS2_37,16,16,kendall_tau,0.9999999999999998
CS2_37,16,24,kendall_tau,0.6428571428571428
CS2_37,16,32,kendall_tau,0.4999999999999999
CS2_37,16,48,kendall_tau,0.4999999999999999
CS2_37,16,64,kendall_tau,0.5714285714285714
CS2_37,24,1,kendall_tau,0.4999999999999999
CS2_37,24,4,kendall_tau,0.4999999999999999
CS2_37,24,8,kendall_tau,0.4999999999999999
CS2_37,24,12,kendall_tau,0.7142857142857142
CS2_37,24,16,kendall_tau,0.6428571428571428
CS2_37,24,24,kendall_tau,0.9999999999999998
CS2_37,24,32,kendall_tau,0.7142857142857142
CS2_37,24,48,kendall_tau,0.5714285714285714
CS2_37,24,64,kendall_tau,0.6428571428571428
CS2_37,32,1,kendall_tau,0.21428571428571427
CS2_37,32,4,kendall_tau,0.21428571428571427
CS2_37,32,8,kendall_tau,0.3571428571428571
CS2_37,32,12,kendall_tau,0.42857142857142855
CS2_37,32,16,kendall_tau,0.4999999999999999
CS2_37,32,24,kendall_tau,0.7142857142857142
CS2_37,32,32,kendall_tau,0.9999999999999998
CS2_37,32,48,kendall_tau,0.8571428571428571
CS2_37,32,64,kendall_tau,0.7857142857142856
CS2_37,48,1,kendall_tau,0.07142857142857142
CS2_37,48,4,kendall_tau,0.07142857142857142
CS2_37,48,8,kendall_tau,0.21428571428571427
CS2_37,48,12,kendall_tau,0.2857142857142857
CS2_37,48,16,kendall_tau,0.4999999999999999
CS2_37,48,24,kendall_tau,0.5714285714285714
CS2_37,48,32,kendall_tau,0.8571428571428571
CS2_37,48,48,kendall_tau,0.9999999999999998
CS2_37,48,64,kendall_tau,0.9285714285714285
CS2_37,64,1,kendall_tau,0.14285714285714285
CS2_37,64,4,kendall_tau,0.14285714285714285
CS2_37,64,8,kendall_tau,0.14285714285714285
CS2_37,64,12,kendall_tau,0.3571428571428571
CS2_37,64,16,kendall_tau,0.5714285714285714
CS2_37,64,24,kendall_tau,0.6428571428571428
CS2_37,64,32,kendall_tau,0.7857142857142856
CS2_37,64,48,kendall_tau,0.9285714285714285
CS2_37,64,64,kendall_tau,0.9999999999999998
CS2_38,1,1,kendall_tau,0.9999999999999998
CS2_38,1,4,kendall_tau,0.6428571428571428
CS2_38,1,8,kendall_tau,0.6428571428571428
CS2_38,1,12,kendall_tau,0.42857142857142855
CS2_38,1,16,kendall_tau,0.6428571428571428
CS2_38,1,24,kendall_tau,0.7857142857142856
CS2_38,1,32,kendall_tau,0.42857142857142855
CS2_38,1,48,kendall_tau,0.2857142857142857
CS2_38,1,64,kendall_tau,0.2857142857142857
CS2_38,4,1,kendall_tau,0.6428571428571428
CS2_38,4,4,kendall_tau,0.9999999999999998
CS2_38,4,8,kendall_tau,0.8571428571428571
CS2_38,4,12,kendall_tau,0.7857142857142856
CS2_38,4,16,kendall_tau,0.9999999999999998
CS2_38,4,24,kendall_tau,0.8571428571428571
CS2_38,4,32,kendall_tau,0.7857142857142856
CS2_38,4,48,kendall_tau,0.4999999999999999
CS2_38,4,64,kendall_tau,0.6428571428571428
CS2_38,8,1,kendall_tau,0.6428571428571428
CS2_38,8,4,kendall_tau,0.8571428571428571
CS2_38,8,8,kendall_tau,0.9999999999999998
CS2_38,8,12,kendall_tau,0.7857142857142856
CS2_38,8,16,kendall_tau,0.8571428571428571
CS2_38,8,24,kendall_tau,0.8571428571428571
CS2_38,8,32,kendall_tau,0.7857142857142856
CS2_38,8,48,kendall_tau,0.6428571428571428
CS2_38,8,64,kendall_tau,0.6428571428571428
CS2_38,12,1,kendall_tau,0.42857142857142855
CS2_38,12,4,kendall_tau,0.7857142857142856
CS2_38,12,8,kendall_tau,0.7857142857142856
CS2_38,12,12,kendall_tau,0.9999999999999998
CS2_38,12,16,kendall_tau,0.7857142857142856
CS2_38,12,24,kendall_tau,0.6428571428571428
CS2_38,12,32,kendall_tau,0.9999999999999998
CS2_38,12,48,kendall_tau,0.7142857142857142
CS2_38,12,64,kendall_tau,0.8571428571428571
CS2_38,16,1,kendall_tau,0.6428571428571428
CS2_38,16,4,kendall_tau,0.9999999999999998
CS2_38,16,8,kendall_tau,0.8571428571428571
CS2_38,16,12,kendall_tau,0.7857142857142856
CS2_38,16,16,kendall_tau,0.9999999999999998
CS2_38,16,24,kendall_tau,0.8571428571428571
CS2_38,16,32,kendall_tau,0.7857142857142856
CS2_38,16,48,kendall_tau,0.4999999999999999
CS2_38,16,64,kendall_tau,0.6428571428571428
CS2_38,24,1,kendall_tau,0.7857142857142856
CS2_38,24,4,kendall_tau,0.8571428571428571
CS2_38,24,8,kendall_tau,0.8571428571428571
CS2_38,24,12,kendall_tau,0.6428571428571428
CS2_38,24,16,kendall_tau,0.8571428571428571
CS2_38,24,24,kendall_tau,0.9999999999999998
CS2_38,24,32,kendall_tau,0.6428571428571428
CS2_38,24,48,kendall_tau,0.4999999999999999
CS2_38,24,64,kendall_tau,0.4999999999999999
CS2_38,32,1,kendall_tau,0.42857142857142855
