battery,feature,horizon,metric,value,n_effective,support_rule,rank
CS2_36,HF2,24,pearson_partial_controlling_SOH,0.11421987701271082,587,double_common,2.0
CS2_36,HF3,24,pearson_partial_controlling_SOH,0.0003875903184427169,587,double_common,8.0
CS2_36,HF4,24,pearson_partial_controlling_SOH,0.03911909346824994,587,double_common,5.0
CS2_36,HF5,24,pearson_partial_controlling_SOH,-0.07833102809823031,587,double_common,4.0
CS2_36,HF6,24,pearson_partial_controlling_SOH,-0.13748619447368635,587,double_common,1.0
CS2_36,HF7,24,pearson_partial_controlling_SOH,-0.016773682451405043,587,double_common,6.0
CS2_36,HF8,24,pearson_partial_controlling_SOH,0.09680411166880683,587,double_common,3.0
CS2_36,HF1,32,pearson_partial_controlling_SOH,-0.014042318007229736,587,double_common,7.0
CS2_36,HF2,32,pearson_partial_controlling_SOH,0.09895353092167232,587,double_common,2.0
CS2_36,HF3,32,pearson_partial_controlling_SOH,0.004215890675305484,587,double_common,8.0
CS2_36,HF4,32,pearson_partial_controlling_SOH,0.05007218869219591,587,double_common,5.0
CS2_36,HF5,32,pearson_partial_controlling_SOH,-0.06925932511039594,587,double_common,4.0
CS2_36,HF6,32,pearson_partial_controlling_SOH,-0.14398215194507422,587,double_common,1.0
CS2_36,HF7,32,pearson_partial_controlling_SOH,-0.016980995640126593,587,double_common,6.0
CS2_36,HF8,32,pearson_partial_controlling_SOH,0.07803206370001411,587,double_common,3.0
CS2_36,HF1,48,pearson_partial_controlling_SOH,-0.03291239844958686,587,double_common,7.0
CS2_36,HF2,48,pearson_partial_controlling_SOH,0.1529838976736665,587,double_common,2.0
CS2_36,HF3,48,pearson_partial_controlling_SOH,0.014260503845092596,587,double_common,8.0
CS2_36,HF4,48,pearson_partial_controlling_SOH,0.05489070235453641,587,double_common,5.0
CS2_36,HF5,48,pearson_partial_controlling_SOH,-0.10470596637070194,587,double_common,4.0
CS2_36,HF6,48,pearson_partial_controlling_SOH,-0.20204077291581715,587,double_common,1.0
CS2_36,HF7,48,pearson_partial_controlling_SOH,-0.03643345099737785,587,double_common,6.0
CS2_36,HF8,48,pearson_partial_controlling_SOH,0.14003392282026667,587,double_common,3.0
CS2_36,HF1,64,pearson_partial_controlling_SOH,-0.02226981124035547,587,double_common,7.0
CS2_36,HF2,64,pearson_partial_controlling_SOH,0.1634794604942302,587,double_common,2.0
CS2_36,HF3,64,pearson_partial_controlling_SOH,0.0049597548898995866,587,double_common,8.0
CS2_36,HF4,64,pearson_partial_controlling_SOH,0.08075522634290447,587,double_common,5.0
CS2_36,HF5,64,pearson_partial_controlling_SOH,-0.15131914123953336,587,double_common,4.0
CS2_36,HF6,64,pearson_partial_controlling_SOH,-0.19333143994515117,587,double_common,1.0
CS2_36,HF7,64,pearson_partial_controlling_SOH,-0.025607248938247496,587,double_common,6.0
CS2_36,HF8,64,pearson_partial_controlling_SOH,0.15442136509339704,587,double_common,3.0
CS2_37,HF1,1,pearson_partial_controlling_SOH,-0.00915067536682689,616,double_common,3.0
CS2_37,HF2,1,pearson_partial_controlling_SOH,2.649284639906664e-06,616,double_common,8.0
CS2_37,HF3,1,pearson_partial_controlling_SOH,0.005432253101521508,616,double_common,7.0
CS2_37,HF4,1,pearson_partial_controlling_SOH,-0.00884210582826725,616,double_common,4.0
CS2_37,HF5,1,pearson_partial_controlling_SOH,0.01892548960621238,616,double_common,2.0
CS2_37,HF6,1,pearson_partial_controlling_SOH,-0.028673695882266724,616,double_common,1.0
CS2_37,HF7,1,pearson_partial_controlling_SOH,-0.008618091221904493,616,double_common,5.0
CS2_37,HF8,1,pearson_partial_controlling_SOH,-0.008073217855618087,616,double_common,6.0
CS2_37,HF1,4,pearson_partial_controlling_SOH,0.0011494198291822607,616,double_common,7.0
CS2_37,HF2,4,pearson_partial_controlling_SOH,0.06734450702581521,616,double_common,2.0
CS2_37,HF3,4,pearson_partial_controlling_SOH,0.008686759090188822,616,double_common,6.0
CS2_37,HF4,4,pearson_partial_controlling_SOH,0.016775344539083626,616,double_common,5.0
CS2_37,HF5,4,pearson_partial_controlling_SOH,-0.06854081940365914,616,double_common,1.0
CS2_37,HF6,4,pearson_partial_controlling_SOH,-0.06292514648539739,616,double_common,3.0
CS2_37,HF7,4,pearson_partial_controlling_SOH,-0.0010919376832136346,616,double_common,8.0
CS2_37,HF8,4,pearson_partial_controlling_SOH,0.061699195004283655,616,double_common,4.0
CS2_37,HF1,8,pearson_partial_controlling_SOH,-0.0026308977358944314,616,double_common,8.0
CS2_37,HF2,8,pearson_partial_controlling_SOH,0.06587778654151992,616,double_common,2.0
CS2_37,HF3,8,pearson_partial_controlling_SOH,0.0038966733276507275,616,double_common,6.0
CS2_37,HF4,8,pearson_partial_controlling_SOH,0.02629043270319791,616,double_common,4.0
CS2_37,HF5,8,pearson_partial_controlling_SOH,-0.01045076850450011,616,double_common,5.0
CS2_37,HF6,8,pearson_partial_controlling_SOH,-0.0859321365399457,616,double_common,1.0
CS2_37,HF7,8,pearson_partial_controlling_SOH,-0.003803560009405144,616,double_common,7.0
CS2_37,HF8,8,pearson_partial_controlling_SOH,0.05481447756307801,616,double_common,3.0
CS2_37,HF1,12,pearson_partial_controlling_SOH,0.008202142769594814,616,double_common,5.0
CS2_37,HF2,12,pearson_partial_controlling_SOH,0.07721170304389008,616,double_common,2.0
CS2_37,HF3,12,pearson_partial_controlling_SOH,0.0011797449736124191,616,double_common,8.0
CS2_37,HF4,12,pearson_partial_controlling_SOH,-0.002343011828423531,616,double_common,7.0
CS2_37,HF5,12,pearson_partial_controlling_SOH,-0.0764456189252258,616,double_common,3.0
CS2_37,HF6,12,pearson_partial_controlling_SOH,-0.1161267964173896,616,double_common,1.0
CS2_37,HF7,12,pearson_partial_controlling_SOH,0.006660103502001979,616,double_common,6.0
CS2_37,HF8,12,pearson_partial_controlling_SOH,0.06357591497358792,616,double_common,4.0
CS2_37,HF1,16,pearson_partial_controlling_SOH,0.012798120692471427,616,double_common,6.0
CS2_37,HF2,16,pearson_partial_controlling_SOH,0.1271717139931722,616,double_common,2.0
CS2_37,HF3,16,pearson_partial_controlling_SOH,9.155887174607294e-05,616,double_common,8.0
CS2_37,HF4,16,pearson_partial_controlling_SOH,0.11480402168473265,616,double_common,4.0
CS2_37,HF5,16,pearson_partial_controlling_SOH,-0.12450605772058242,616,double_common,3.0
CS2_37,HF6,16,pearson_partial_controlling_SOH,-0.1893996874699821,616,double_common,1.0
CS2_37,HF7,16,pearson_partial_controlling_SOH,0.010103446992379568,616,double_common,7.0
CS2_37,HF8,16,pearson_partial_controlling_SOH,0.09168955757002711,616,double_common,5.0
CS2_37,HF1,24,pearson_partial_controlling_SOH,0.05209919002722377,616,double_common,6.0
CS2_37,HF2,24,pearson_partial_controlling_SOH,0.08351517409083674,616,double_common,2.0
CS2_37,HF3,24,pearson_partial_controlling_SOH,-0.01710572053911047,616,double_common,8.0
CS2_37,HF4,24,pearson_partial_controlling_SOH,0.06377667124853631,616,double_common,3.0
CS2_37,HF5,24,pearson_partial_controlling_SOH,-0.057831317290831116,616,double_common,5.0
CS2_37,HF6,24,pearson_partial_controlling_SOH,-0.1395934675653807,616,double_common,1.0
CS2_37,HF7,24,pearson_partial_controlling_SOH,0.05016718986053773,616,double_common,7.0
CS2_37,HF8,24,pearson_partial_controlling_SOH,0.058784694048948025,616,double_common,4.0
CS2_37,HF1,32,pearson_partial_controlling_SOH,0.017886198319534224,616,double_common,6.0
CS2_37,HF2,32,pearson_partial_controlling_SOH,0.055753975439662956,616,double_common,3.0
CS2_37,HF3,32,pearson_partial_controlling_SOH,-0.0019857861717381253,616,double_common,8.0
CS2_37,HF4,32,pearson_partial_controlling_SOH,0.09459149061472671,616,double_common,2.0
