battery,feature,horizon,metric,value,n_effective,support_rule,abs_partial,delta_abs_from_h1
CS2_35,HF5,8,pearson_partial_controlling_SOH,-0.049961026336724244,572,feature_common,0.049961026336724244,0.021662674849482616
CS2_35,HF6,8,pearson_partial_controlling_SOH,-0.09025803966139413,572,feature_common,0.09025803966139413,0.003306518677987591
CS2_35,HF5,12,pearson_partial_controlling_SOH,-0.23709365443703498,572,feature_common,0.23709365443703498,0.20879530294979334
CS2_35,HF6,12,pearson_partial_controlling_SOH,-0.1896918530106115,572,feature_common,0.1896918530106115,0.10274033202720496
CS2_35,HF5,16,pearson_partial_controlling_SOH,-0.1303738028550465,572,feature_common,0.1303738028550465,0.10207545136780485
CS2_35,HF6,16,pearson_partial_controlling_SOH,-0.15200772622522785,572,feature_common,0.15200772622522785,0.0650562052418213
CS2_35,HF5,24,pearson_partial_controlling_SOH,-0.1807938575642733,572,feature_common,0.1807938575642733,0.15249550607703166
CS2_35,HF6,24,pearson_partial_controlling_SOH,-0.21590279978004742,572,feature_common,0.21590279978004742,0.12895127879664087
CS2_35,HF5,32,pearson_partial_controlling_SOH,-0.14441164402886222,572,feature_common,0.14441164402886222,0.11611329254162059
CS2_35,HF6,32,pearson_partial_controlling_SOH,-0.24156188471187479,572,feature_common,0.24156188471187479,0.15461036372846826
CS2_35,HF5,48,pearson_partial_controlling_SOH,-0.21820924852289936,573,feature_common,0.21820924852289936,0.18991089703565772
CS2_35,HF6,48,pearson_partial_controlling_SOH,-0.29360656012783143,573,feature_common,0.29360656012783143,0.2066550391444249
CS2_35,HF5,64,pearson_partial_controlling_SOH,-0.2644853888144105,573,feature_common,0.2644853888144105,0.2361870373271689
CS2_35,HF6,64,pearson_partial_controlling_SOH,-0.3517442617607594,573,feature_common,0.3517442617607594,0.2647927407773529
CS2_36,HF5,1,pearson_partial_controlling_SOH,0.026873041021755337,607,feature_common,0.026873041021755337,0.0
CS2_36,HF6,1,pearson_partial_controlling_SOH,0.03462140759207941,607,feature_common,0.03462140759207941,0.0
CS2_36,HF5,4,pearson_partial_controlling_SOH,0.0502948762778376,606,feature_common,0.0502948762778376,0.023421835256082265
CS2_36,HF6,4,pearson_partial_controlling_SOH,-0.054026639961168486,606,feature_common,0.054026639961168486,0.019405232369089073
CS2_36,HF5,8,pearson_partial_controlling_SOH,-0.023648175051602282,607,feature_common,0.023648175051602282,-0.0032248659701530555
CS2_36,HF6,8,pearson_partial_controlling_SOH,-0.07108382330329494,607,feature_common,0.07108382330329494,0.03646241571121552
CS2_36,HF5,12,pearson_partial_controlling_SOH,-0.06328998469145389,606,feature_common,0.06328998469145389,0.036416943669698554
CS2_36,HF6,12,pearson_partial_controlling_SOH,-0.1140702406767134,606,feature_common,0.1140702406767134,0.07944883308463399
CS2_36,HF5,16,pearson_partial_controlling_SOH,-0.003740277933935955,607,feature_common,0.003740277933935955,-0.023132763087819384
CS2_36,HF6,16,pearson_partial_controlling_SOH,-0.07912651111754063,607,feature_common,0.07912651111754063,0.04450510352546121
CS2_36,HF5,24,pearson_partial_controlling_SOH,-0.07598456454584612,606,feature_common,0.07598456454584612,0.04911152352409079
CS2_36,HF6,24,pearson_partial_controlling_SOH,-0.14034107724821912,606,feature_common,0.14034107724821912,0.10571966965613971
CS2_36,HF5,32,pearson_partial_controlling_SOH,-0.0718675399840347,606,feature_common,0.0718675399840347,0.04499449896227936
CS2_36,HF6,32,pearson_partial_controlling_SOH,-0.1484089148169202,606,feature_common,0.1484089148169202,0.1137875072248408
CS2_36,HF5,48,pearson_partial_controlling_SOH,-0.10149110185627344,607,feature_common,0.10149110185627344,0.07461806083451811
CS2_36,HF6,48,pearson_partial_controlling_SOH,-0.20420217616590275,607,feature_common,0.20420217616590275,0.16958076857382334
CS2_36,HF5,64,pearson_partial_controlling_SOH,-0.1546269705334242,607,feature_common,0.1546269705334242,0.12775392951166886
CS2_36,HF6,64,pearson_partial_controlling_SOH,-0.19810526904399542,607,feature_common,0.19810526904399542,0.163483861451916
CS2_37,HF5,1,pearson_partial_controlling_SOH,0.017907682336418623,640,feature_common,0.017907682336418623,0.0
CS2_37,HF6,1,pearson_partial_controlling_SOH,-0.03099721302729174,640,feature_common,0.03099721302729174,0.0
CS2_37,HF5,4,pearson_partial_controlling_SOH,-0.07311519034348334,639,feature_common,0.07311519034348334,0.05520750800706471
CS2_37,HF6,4,pearson_partial_controlling_SOH,-0.06994041286209718,639,feature_common,0.06994041286209718,0.03894319983480544
CS2_37,HF5,8,pearson_partial_controlling_SOH,-0.009945588230434541,640,feature_common,0.009945588230434541,-0.007962094105984082
CS2_37,HF6,8,pearson_partial_controlling_SOH,-0.08623219287652194,640,feature_common,0.08623219287652194,0.0552349798492302
CS2_37,HF5,12,pearson_partial_controlling_SOH,-0.07898421206023509,640,feature_common,0.07898421206023509,0.06107652972381647
CS2_37,HF6,12,pearson_partial_controlling_SOH,-0.12070881939840496,640,feature_common,0.12070881939840496,0.08971160637111322
CS2_37,HF5,16,pearson_partial_controlling_SOH,-0.11790218583908893,639,feature_common,0.11790218583908893,0.0999945035026703
CS2_37,HF6,16,pearson_partial_controlling_SOH,-0.18893168262905835,639,feature_common,0.18893168262905835,0.1579344696017666
CS2_37,HF5,24,pearson_partial_controlling_SOH,-0.06081992463951223,638,feature_common,0.06081992463951223,0.04291224230309361
CS2_37,HF6,24,pearson_partial_controlling_SOH,-0.14123008001172171,638,feature_common,0.14123008001172171,0.11023286698442997
CS2_37,HF5,32,pearson_partial_controlling_SOH,-0.04272278465868484,638,feature_common,0.04272278465868484,0.02481510232226622
CS2_37,HF6,32,pearson_partial_controlling_SOH,-0.13005660104016817,638,feature_common,0.13005660104016817,0.09905938801287642
CS2_37,HF5,48,pearson_partial_controlling_SOH,-0.1280731394364432,639,feature_common,0.1280731394364432,0.11016545710002457
CS2_37,HF6,48,pearson_partial_controlling_SOH,-0.2295373698520655,639,feature_common,0.2295373698520655,0.19854015682477374
CS2_37,HF5,64,pearson_partial_controlling_SOH,-0.21018407263410796,639,feature_common,0.21018407263410796,0.19227639029768934
CS2_37,HF6,64,pearson_partial_controlling_SOH,-0.28816739686066756,639,feature_common,0.28816739686066756,0.2571701838333758
CS2_38,HF5,1,pearson_partial_controlling_SOH,0.014367333293416908,548,feature_common,0.014367333293416908,0.0
CS2_38,HF6,1,pearson_partial_controlling_SOH,-0.0245171705608938,548,feature_common,0.0245171705608938,0.0
CS2_38,HF5,4,pearson_partial_controlling_SOH,-0.09618648144848067,547,feature_common,0.09618648144848067,0.08181914815506376
CS2_38,HF6,4,pearson_partial_controlling_SOH,-0.12522588255588826,547,feature_common,0.12522588255588826,0.10070871199499445
CS2_38,HF5,8,pearson_partial_controlling_SOH,-0.09534380030121037,549,feature_common,0.09534380030121037,0.08097646700779346
CS2_38,HF6,8,pearson_partial_controlling_SOH,-0.12890086142956736,549,feature_common,0.12890086142956736,0.10438369086867355
