battery,feature,horizon,metric,value,rmse,alpha,history_length,n_test
CS2_37,current_SOH,24,MAE,0.024435543141238664,0.0568500659454961,10.0,1,1014
CS2_37,current_SOH,24,MAE,0.02648863457212913,0.057522379745670864,100.0,1,1014
CS2_38,current_SOH,24,MAE,0.025507641182214554,0.06361106378805641,0.01,1,1004
CS2_38,current_SOH,24,MAE,0.025509414936551723,0.06361078361041925,0.1,1,1004
CS2_38,current_SOH,24,MAE,0.02552714625732684,0.06360800940917376,1.0,1,1004
CS2_38,current_SOH,24,MAE,0.025711200608018188,0.06358300704505276,10.0,1,1004
CS2_38,current_SOH,24,MAE,0.027887631809519524,0.063589385015406,100.0,1,1004
CS2_35,current_SOH_currentHF,24,MAE,0.022545663907347635,0.040905152223110156,0.01,1,858
CS2_35,current_SOH_currentHF,24,MAE,0.022440853125262606,0.04103431304005826,0.1,1,858
CS2_35,current_SOH_currentHF,24,MAE,0.02238171104532086,0.04108808478129528,1.0,1,858
CS2_35,current_SOH_currentHF,24,MAE,0.022339802636313112,0.0408730356683241,10.0,1,858
CS2_35,current_SOH_currentHF,24,MAE,0.02266531955046088,0.040182080340679355,100.0,1,858
CS2_36,current_SOH_currentHF,24,MAE,0.023369056906076876,0.05687293968751443,0.01,1,949
CS2_36,current_SOH_currentHF,24,MAE,0.023480133260558755,0.05697844078679035,0.1,1,949
CS2_36,current_SOH_currentHF,24,MAE,0.023543135916563995,0.0570428630115,1.0,1,949
CS2_36,current_SOH_currentHF,24,MAE,0.023498406890935998,0.05701239598695462,10.0,1,949
CS2_36,current_SOH_currentHF,24,MAE,0.023193427331154943,0.05689937470134721,100.0,1,949
CS2_37,current_SOH_currentHF,24,MAE,0.021306779410274413,0.04338409922299506,0.01,1,1014
CS2_37,current_SOH_currentHF,24,MAE,0.021398635109247492,0.043466214315979204,0.1,1,1014
CS2_37,current_SOH_currentHF,24,MAE,0.021454263353519194,0.04353023601154083,1.0,1,1014
CS2_37,current_SOH_currentHF,24,MAE,0.02145888262624873,0.043589770982354066,10.0,1,1014
CS2_37,current_SOH_currentHF,24,MAE,0.021520828718951196,0.0442120053649879,100.0,1,1014
CS2_38,current_SOH_currentHF,24,MAE,0.02077287627623162,0.048351122597083344,0.01,1,1004
CS2_38,current_SOH_currentHF,24,MAE,0.020210228947530037,0.04786098220121238,0.1,1,1004
