battery,feature,horizon,metric,value,mae_without,mae_full,model_context,alpha,n_test,rank
CS2_38,Group_DischargeIC,12,MAE_minus_full,0.0007436567128732245,0.017796105356922585,0.01705244864404936,current_SOH,1.0,1016,4.0
CS2_35,Group_CC,16,MAE_minus_full,0.0024045540835634094,0.022322226293007404,0.019917672209443994,current_SOH,1.0,866,1.0
CS2_35,Group_CV,16,MAE_minus_full,0.0003721801226041696,0.020289852332048164,0.019917672209443994,current_SOH,1.0,866,4.0
CS2_35,Group_EnergyEfficiency,16,MAE_minus_full,0.0006982737951469857,0.02061594600459098,0.019917672209443994,current_SOH,1.0,866,2.0
CS2_35,Group_DischargeIC,16,MAE_minus_full,0.0006228561466622984,0.020540528356106293,0.019917672209443994,current_SOH,1.0,866,3.0
CS2_36,Group_CC,16,MAE_minus_full,0.0030886388207132763,0.0239390685102096,0.020850429689496325,current_SOH,1.0,957,1.0
CS2_36,Group_CV,16,MAE_minus_full,-0.00015651670680997057,0.020693912982686354,0.020850429689496325,current_SOH,1.0,957,4.0
CS2_36,Group_EnergyEfficiency,16,MAE_minus_full,0.0006543634059708557,0.02150479309546718,0.020850429689496325,current_SOH,1.0,957,3.0
CS2_36,Group_DischargeIC,16,MAE_minus_full,0.0008692548160370156,0.02171968450553334,0.020850429689496325,current_SOH,1.0,957,2.0
CS2_37,Group_CC,16,MAE_minus_full,0.003060586077678989,0.022047280160787434,0.018986694083108446,current_SOH,1.0,1022,1.0
CS2_37,Group_CV,16,MAE_minus_full,-0.00019384278423735524,0.01879285129887109,0.018986694083108446,current_SOH,1.0,1022,4.0
CS2_37,Group_EnergyEfficiency,16,MAE_minus_full,0.00019559520705701716,0.019182289290165463,0.018986694083108446,current_SOH,1.0,1022,2.0
CS2_37,Group_DischargeIC,16,MAE_minus_full,7.335388151816225e-05,0.019060047964626608,0.018986694083108446,current_SOH,1.0,1022,3.0
CS2_38,Group_CC,16,MAE_minus_full,0.004869103886586838,0.02298869144994823,0.018119587563361392,current_SOH,1.0,1012,1.0
CS2_38,Group_CV,16,MAE_minus_full,0.001583439516654843,0.019703027080016235,0.018119587563361392,current_SOH,1.0,1012,2.0
CS2_38,Group_EnergyEfficiency,16,MAE_minus_full,0.0014584901974965918,0.019578077760857984,0.018119587563361392,current_SOH,1.0,1012,3.0
CS2_38,Group_DischargeIC,16,MAE_minus_full,0.0005846128604728822,0.018704200423834274,0.018119587563361392,current_SOH,1.0,1012,4.0
CS2_35,Group_CC,24,MAE_minus_full,0.0022456555919373594,0.02462736663725822,0.02238171104532086,current_SOH,1.0,858,1.0
CS2_35,Group_CV,24,MAE_minus_full,0.00014892241631271966,0.02253063346163358,0.02238171104532086,current_SOH,1.0,858,4.0
CS2_35,Group_EnergyEfficiency,24,MAE_minus_full,0.000493543095375585,0.022875254140696445,0.02238171104532086,current_SOH,1.0,858,3.0
CS2_35,Group_DischargeIC,24,MAE_minus_full,0.0009212701136031808,0.02330298115892404,0.02238171104532086,current_SOH,1.0,858,2.0
CS2_36,Group_CC,24,MAE_minus_full,0.0016414091061141174,0.025184545022678112,0.023543135916563995,current_SOH,1.0,949,1.0
CS2_36,Group_CV,24,MAE_minus_full,-0.00035465981049770043,0.023188476106066294,0.023543135916563995,current_SOH,1.0,949,4.0
CS2_36,Group_EnergyEfficiency,24,MAE_minus_full,0.0004421128890622003,0.023985248805626195,0.023543135916563995,current_SOH,1.0,949,3.0
CS2_36,Group_DischargeIC,24,MAE_minus_full,0.0007716231292995424,0.024314759045863537,0.023543135916563995,current_SOH,1.0,949,2.0
CS2_37,Group_CC,24,MAE_minus_full,0.0029953624008584416,0.024449625754377636,0.021454263353519194,current_SOH,1.0,1014,1.0
CS2_37,Group_CV,24,MAE_minus_full,-0.0003832956903675813,0.021070967663151613,0.021454263353519194,current_SOH,1.0,1014,4.0
CS2_37,Group_EnergyEfficiency,24,MAE_minus_full,0.00024019341786449613,0.02169445677138369,0.021454263353519194,current_SOH,1.0,1014,2.0
CS2_37,Group_DischargeIC,24,MAE_minus_full,0.0001365967430566363,0.02159086009657583,0.021454263353519194,current_SOH,1.0,1014,3.0
CS2_38,Group_CC,24,MAE_minus_full,0.004932510825320802,0.024981800483929912,0.02004928965860911,current_SOH,1.0,1004,1.0
CS2_38,Group_CV,24,MAE_minus_full,0.0012609558582912968,0.021310245516900406,0.02004928965860911,current_SOH,1.0,1004,3.0
CS2_38,Group_EnergyEfficiency,24,MAE_minus_full,0.00145695326945533,0.02150624292806444,0.02004928965860911,current_SOH,1.0,1004,2.0
CS2_38,Group_DischargeIC,24,MAE_minus_full,0.0009798415285388537,0.021029131187147963,0.02004928965860911,current_SOH,1.0,1004,4.0
